Report Date,No,Item,Size,Price,Quantity,Notes
11/09/2024,14,2 Color Polo Shirt (white w/black top w/yellow line),XL,800,40,XL - 20 pcs. (03-17-25)
11/09/2024,15,2 Color Polo Shirt (yellow w/black collar),Medium,800,26,
11/09/2024,15,2 Color Polo Shirt (yellow w/black collar),Large,800,28,
11/09/2024,15,2 Color Polo Shirt (yellow w/black collar),XL,800,38,
11/09/2024,16,Windbreaker,Large,1650,32,XL - 16 pcs. and L - 17 pcs. 12/14/2024
11/09/2024,16,Windbreaker,XL,1650,16,L - 15 pcs. 01/16/2025
11/09/2024,17,Napoliz Hoodie (black/yellow/green inside),Medium,1900,5,ALL SIZES
11/09/2024,17,Napoliz Hoodie (black/yellow/green inside),Large,1900,14,ARE TAKEN
11/09/2024,17,Napoliz Hoodie (black/yellow/green inside),XL,1900,13,12/02/2024
11/09/2024,18,Napoliz Jacket (black/yellow/green inside,Medium,1900,25,"M- 3pcs. , m - 5 (05-13-25)"
11/09/2024,18,Napoliz Jacket (black/yellow/green inside,Large,1900,10,ALL LARGE AND XL SIZES ARE TAKEN
11/09/2024,18,Napoliz Jacket (black/yellow/green inside,XL,1900,12,"12/02/2024, m-3 (03/05)"
11/09/2024,19,White Hoodie (black tiger head design),XS,1200,30,"medium 5pcs , m-3 (03-05), m-8 (05-13-25)"
11/09/2024,19,White Hoodie (black tiger head design),Medium,1200,17,large 9pcs. 12/11/2024
11/09/2024,19,White Hoodie (black tiger head design),Large,1200,9,
11/09/2024,20,White Baseball Shirt,Medium,800,7,M - 7 L - 10 2XL - 10
11/09/2024,20,White Baseball Shirt,Large,800,28,12/02/2024
11/09/2024,20,White Baseball Shirt,2XL,800,18,
11/09/2024,21,Yellow Baseball Shirt,Medium,800,10,M - 10 L -10  XL - 10
11/09/2024,21,Yellow Baseball Shirt,Large,800,20,2XL - 10 12/02/2024
11/09/2024,21,Yellow Baseball Shirt,XL,800,26,
11/09/2024,21,Yellow Baseball Shirt,2XL,800,20,
11/09/2024,22,White Hoodie (gold tigers lettering),Medium,1200,11,all items are taken 01/16/2025
11/09/2024,23,"JYL Hoodie ( white , yellow, green",XL,1900,19,"8 pcs. 12/02/2024 , 11 pcs. 12/14/2024"
11/09/2024,24,Yellow Happy Tiger,2XL,450,10,all items are taken 01/16/2025
11/09/2024,25,Yellow Oat Shirt,2XL,375,25,all items are taken 01/16/2025
11/09/2024,26,Bomber Jacket,Medium,1900,8,
11/09/2024,26,Bomber Jacket,Large,1900,13,ALL SIZES
11/09/2024,26,Bomber Jacket,XL,1900,15,ARE TAKEN
11/09/2024,26,Bomber Jacket,2XL,1900,11,11/16/2024
