Date,Item,Total Quantity,Supplier,canonical_item_name
2024-05-03,Lanyard @190,0,USTORE,Lanyard @190
2024-05-03,NB @100,1,USTORE,NB @100
2024-05-03,NB @75,0,USTORE,NB @75
2024-05-03,Sash Big,0,USTORE,Sash Big
2024-05-03,Sash Small,1,USTORE,Sash Small
2024-05-03,Shabby Hat,4,USTORE,Shabby Hat
2024-05-03,Tiger Stuff Toy Small Grad,26,USTORE,Tiger Stuff Toy Small Grad
2024-05-03,Tote (One For UST),2,USTORE,Tote (One For UST)
2024-05-03,Tote Bag Canvas White,8,USTORE,Tote Bag Canvas White
2024-05-03,Tote Bag CGEEE!,0,USTORE,Eco Bag CGEEE!
2024-05-03,Tubler @150,4,USTORE,Tumbler
2024-05-03,Umb (One For UST),16,USTORE,Umb (One For UST)
2024-05-03,Umb Old,0,USTORE,Umb Old @250
2024-05-03,Umb. Cane,0,USTORE,Umb. Cane
2024-05-03,Utensil,0,USTORE,Utensil
2024-05-03,Baller,0,VARSITY LIFE STYLE,Baller
2024-05-03,Caps,0,VARSITY LIFE STYLE,Caps
2024-05-03,Hoodie,0,VARSITY LIFE STYLE,Hoodie
2024-05-03,Keychain,0,VARSITY LIFE STYLE,Keychain
2024-05-03,Lanyard,0,VARSITY LIFE STYLE,Lanyard
2024-05-03,Long Sticker,0,VARSITY LIFE STYLE,Long Sticker
2024-05-03,Oversized Sweatshirt,0,VARSITY LIFE STYLE,Oversized Sweatshirt
2024-05-03,Scarves,0,VARSITY LIFE STYLE,Scarves
2024-05-03,Shirts,0,VARSITY LIFE STYLE,Shirts
2024-05-03,Sticker Pack,0,VARSITY LIFE STYLE,Sticker Pack
2024-05-03,Varsity Jacket,0,VARSITY LIFE STYLE,Varsity Jacket
2024-05-04,Crew Neck Shirt @475,0,BLAZE,Crew Neck Shirt @475
2024-05-04,Polo Shirt @800,0,BLAZE,Polo Shirt @800
2024-05-04,Socks @375,0,BLAZE,Socks @375
2024-05-04,Sublimation Shirt,2,CENTRAL SEMINARY,Subli. Shirt
2024-05-04,OAT Tote Bag (Phased Out),0,JUC,OAT Tote Bag (Phased Out)
2024-05-04,UST College ID Lace,0,JUC,UST College ID Lace
2024-05-04,UST OAT Hoodie Jacket,2,JUC,UST OAT Hoodie Jacket
2024-05-04,UST OAT MUG (W inside),0,JUC,UST OAT MUG (W inside)
2024-05-04,UST OAT MUG (Y/B inside),0,JUC,UST OAT MUG (Y/B inside)
2024-05-04,UST Santo Tomas Script T-Shirt,0,JUC,UST Santo Tomas Script T-Shirt
2024-05-04,UST T-Shirt (College Shirt),0,JUC,UST T-Shirt (College Shirt)
2024-05-04,UST T-Shirt Happy Tiger,6,JUC,UST T-Shirt Happy Tiger
2024-05-04,UST T-Shirt Sporty,3,JUC,UST T-Shirt Sporty
2024-05-04,UST T-Shirt Tiger Pattern,1,JUC,UST T-Shirt Tiger Pattern
2024-05-04,GT 375,0,JYL ATHLETICA,GT 375
2024-05-04,Jacket @1900,0,JYL ATHLETICA,Jacket
2024-05-04,Poloshirt 123456 @860,0,JYL ATHLETICA,Poloshirt 123456 @860
2024-05-04,Poloshirt 3 Colors @800,0,JYL ATHLETICA,Poloshirt 3 Colors
2024-05-04,VB Jersey with Sig. @1800,0,JYL ATHLETICA,VB Jersey with Sig. @1800
2024-05-04,VB Jersey with Sig. @2800,0,JYL ATHLETICA,VB Jersey with Sig. @2800
2024-05-04,VB Jersey without Sig @1000,0,JYL ATHLETICA,VB Jersey without Sig @1000
2024-05-04,VB Jersey without Sig @1500,0,JYL ATHLETICA,VB Jersey without Sig @1500
2024-05-04,VB Jersey without Sig @2000,0,JYL ATHLETICA,VB Jersey without Sig @2000
2024-05-04,Retractable @25,0,MITSUI,Retractable @25
2024-05-04,Stylus pen @45,0,MITSUI,Stylus pen @45
2024-05-04,Back pack,0,NAPOLIZ ENTERPRISES,Back pack
2024-05-04,Cane Umbrella,0,NAPOLIZ ENTERPRISES,Cane Umbrella
2024-05-04,Hoodies Breaker,2,NAPOLIZ ENTERPRISES,Hoodies Breaker
2024-05-04,Laptop Bag,0,NAPOLIZ ENTERPRISES,Laptop Bag
2024-05-04,Shirts,5,NAPOLIZ ENTERPRISES,Shirts
2024-05-04,Sling Bag,0,NAPOLIZ ENTERPRISES,Sling Bag
2024-05-04,Tote Bag Black,0,NAPOLIZ ENTERPRISES,Tote Bag Black
2024-05-04,Tote Bag White,0,NAPOLIZ ENTERPRISES,White Tote Bag
2024-05-04,Arch @320,0,TET AND DARS,Arch @320
2024-05-04,Eco Bag @ 130,0,TET AND DARS,Eco Bag @ 130
2024-05-04,Eco Bag @80,0,TET AND DARS,Eco Bag @80
2024-05-04,Keychain @160,0,TET AND DARS,Keychain @160
2024-05-04,Main Building,0,TET AND DARS,Main Building
2024-05-04,Mug @170,0,TET AND DARS,Mug @170
2024-05-04,Notebook @220,0,TET AND DARS,Notebook @220
2024-05-04,Pen @ 50,0,TET AND DARS,Pen @ 50
2024-05-04,Pen @25,0,TET AND DARS,Pen @25
2024-05-04,Sticker @ 115,0,TET AND DARS,Sticker @ 115
2024-05-04,Sticker @20,0,TET AND DARS,Sticker @20
2024-05-04,Auto Umbrella,0,USTORE,Auto Umbrella
2024-05-04,Bag,0,USTORE,Bag
2024-05-04,Eco Bag CGEEE!,0,USTORE,Eco Bag CGEEE!
2024-05-04,Keychain,1,USTORE,Keychain
2024-05-04,Kit Set,0,USTORE,Kit Set
2024-05-04,Lanyard @180,0,USTORE,Lanyard @180
2024-05-04,Lanyard @190,1,USTORE,Lanyard @190
2024-05-04,NB @100,0,USTORE,NB @100
2024-05-04,NB @75,0,USTORE,NB @75
2024-05-04,Sash Big,2,USTORE,Sash Big
2024-05-04,Sash Small,2,USTORE,Sash Small
2024-05-04,Shabby Hat,0,USTORE,Shabby Hat
2024-05-04,Tiger Stuff Toy Small Grad,4,USTORE,Tiger Stuff Toy Small Grad
2024-05-04,Tote (One For UST),1,USTORE,Tote (One For UST)
2024-05-04,Tote Bag Canvas White,1,USTORE,Tote Bag Canvas White
2024-05-04,Tote Bag CGEEE!,0,USTORE,Eco Bag CGEEE!
2024-05-04,Tubler @150,2,USTORE,Tumbler
2024-05-04,Umb (One For UST),0,USTORE,Umb (One For UST)
2024-05-04,Umb Old,0,USTORE,Umb Old @250
2024-05-04,Umb. Cane,0,USTORE,Umb. Cane
2024-05-04,Utensil,0,USTORE,Utensil
2024-05-04,Baller,0,VARSITY LIFE STYLE,Baller
2024-05-04,Caps,0,VARSITY LIFE STYLE,Caps
2024-05-04,Hoodie,0,VARSITY LIFE STYLE,Hoodie
2024-05-04,Keychain,0,VARSITY LIFE STYLE,Keychain
2024-05-04,Lanyard,2,VARSITY LIFE STYLE,Lanyard
2024-05-04,Long Sticker,0,VARSITY LIFE STYLE,Long Sticker
2024-05-04,Oversized Sweatshirt,0,VARSITY LIFE STYLE,Oversized Sweatshirt
2024-05-04,Scarves,0,VARSITY LIFE STYLE,Scarves
2024-05-04,Shirts,0,VARSITY LIFE STYLE,Shirts
2024-05-04,Sticker Pack,0,VARSITY LIFE STYLE,Sticker Pack
2024-05-04,Varsity Jacket,0,VARSITY LIFE STYLE,Varsity Jacket
2024-05-06,Crew Neck Shirt @475,0,BLAZE,Crew Neck Shirt @475
2024-05-06,Polo Shirt @800,1,BLAZE,Polo Shirt @800
2024-05-06,Socks @375,0,BLAZE,Socks @375
2024-05-06,Sublimation Shirt,7,CENTRAL SEMINARY,Subli. Shirt
2024-05-06,OAT Tote Bag (Phased Out),0,JUC,OAT Tote Bag (Phased Out)
2024-05-06,UST College ID Lace,0,JUC,UST College ID Lace
2024-05-06,UST OAT Hoodie Jacket,1,JUC,UST OAT Hoodie Jacket
2024-05-06,UST OAT MUG (W inside),1,JUC,UST OAT MUG (W inside)
