Date,Item,Total Quantity,Supplier
08/05/2024,Sling Bag,0,NAPOLIZ ENTERPRISES
08/05/2024,Tote Bag Black,0,NAPOLIZ ENTERPRISES
08/05/2024,Tote Bag White,0,NAPOLIZ ENTERPRISES
08/05/2024,Arch @320,3,TET AND DARS
08/05/2024,Eco Bag @ 130,0,TET AND DARS
08/05/2024,Eco Bag @80,2,TET AND DARS
08/05/2024,Keychain @160,0,TET AND DARS
08/05/2024,Main Building,0,TET AND DARS
08/05/2024,Mug @170,0,TET AND DARS
08/05/2024,Notebook @220,0,TET AND DARS
08/05/2024,Pen @ 50,0,TET AND DARS
08/05/2024,Pen @25,0,TET AND DARS
08/05/2024,Sticker @ 115,2,TET AND DARS
08/05/2024,Sticker @20,0,TET AND DARS
08/05/2024,Auto Umbrella,0,USTORE
08/05/2024,Bag,0,USTORE
08/05/2024,Eco Bag CGEEE!,0,USTORE
08/05/2024,Keychain,10,USTORE
08/05/2024,Kit Set,0,USTORE
08/05/2024,Lanyard @180,4,USTORE
08/05/2024,Lanyard @190,6,USTORE
08/05/2024,NB @100,0,USTORE
08/05/2024,NB @75,0,USTORE
08/05/2024,Sash Big,0,USTORE
08/05/2024,Sash Small,0,USTORE
08/05/2024,Shabby Hat,0,USTORE
08/05/2024,Tiger Stuff Toy Small Grad,3,USTORE
08/05/2024,Tote (One For UST),1,USTORE
08/05/2024,Tote Bag Canvas White,1,USTORE
08/05/2024,Tote Bag CGEEE!,0,USTORE
08/05/2024,Tubler @150,0,USTORE
08/05/2024,Umb (One For UST),3,USTORE
08/05/2024,Umb Old,0,USTORE
08/05/2024,Umb. Cane,0,USTORE
08/05/2024,Utensil,0,USTORE
08/05/2024,Baller,5,VARSITY LIFE STYLE
08/05/2024,Caps,0,VARSITY LIFE STYLE
08/05/2024,Hoodie,0,VARSITY LIFE STYLE
08/05/2024,Keychain,0,VARSITY LIFE STYLE
08/05/2024,Lanyard,0,VARSITY LIFE STYLE
08/05/2024,Long Sticker,0,VARSITY LIFE STYLE
08/05/2024,Oversized Sweatshirt,0,VARSITY LIFE STYLE
08/05/2024,Scarves,0,VARSITY LIFE STYLE
08/05/2024,Shirts,0,VARSITY LIFE STYLE
08/05/2024,Sticker Pack,0,VARSITY LIFE STYLE
08/05/2024,Varsity Jacket,0,VARSITY LIFE STYLE
09/05/2024,Crew Neck Shirt @475,0,BLAZE
09/05/2024,Polo Shirt @800,1,BLAZE
09/05/2024,Socks @375,0,BLAZE
09/05/2024,Sublimation Shirt,5,CENTRAL SEMINARY
09/05/2024,OAT Tote Bag (Phased Out),0,JUC
09/05/2024,UST College ID Lace,0,JUC
09/05/2024,UST OAT Hoodie Jacket,2,JUC
09/05/2024,UST OAT MUG (W inside),1,JUC
09/05/2024,UST OAT MUG (Y/B inside),2,JUC
09/05/2024,UST Santo Tomas Script T-Shirt,0,JUC
