product_id,item_name,n_obs,n_test,n_test_break,naive_last_MAE,naive_last_RMSE,naive_last_MAPE,naive_last_MAPE_sem,naive_last_MAE_break,naive_mean_MAE,naive_mean_RMSE,naive_mean_MAPE,naive_mean_MAPE_sem,naive_mean_MAE_break,prophet_base_MAE,prophet_base_RMSE,prophet_base_MAPE,prophet_base_MAPE_sem,prophet_base_MAE_break,prophet_reg_MAE,prophet_reg_RMSE,prophet_reg_MAPE,prophet_reg_MAPE_sem,prophet_reg_MAE_break,prophet_tuned_MAE,prophet_tuned_RMSE,prophet_tuned_MAPE,prophet_tuned_MAPE_sem,prophet_tuned_MAE_break,prophet_flatlog_MAE,prophet_flatlog_RMSE,prophet_flatlog_MAPE,prophet_flatlog_MAPE_sem,prophet_flatlog_MAE_break
183,Hoodies Breaker,241,48,4,1.104,2.72,27.6,24.8,1.5,1.874,2.669,132.0,141.4,0.578,1.246,2.628,54.0,57.4,0.505,1.492,2.753,72.2,73.9,1.371,1.417,2.492,85.0,91.1,0.506,1.43,2.568,83.0,88.9,0.5
185,ID Case,83,17,0,5.0,5.483,220.8,220.8,,3.045,3.546,118.4,118.4,,4.256,5.373,100.0,100.0,,4.147,5.262,92.4,92.4,,6.53,7.08,279.9,279.9,,5.236,5.692,228.7,228.7,
188,ID Case v2 @40,136,27,3,4.37,11.665,57.5,60.8,1.333,4.21,11.214,95.1,101.4,1.223,5.606,12.397,86.2,84.5,3.333,5.656,12.383,91.8,90.8,3.333,5.696,12.433,86.8,85.1,3.333,4.885,11.962,59.0,56.9,2.644
202,Jacket,192,38,3,1.316,2.828,26.2,28.5,0.0,1.756,2.505,99.5,96.0,1.396,1.797,2.861,74.6,72.8,0.958,1.953,2.998,85.2,80.6,1.38,1.545,2.884,48.5,47.9,0.555,1.638,2.624,77.6,82.7,0.189
206,Keychain @180,87,17,1,4.059,4.832,223.7,225.2,4.0,3.194,4.427,142.0,144.0,2.186,3.867,5.929,92.8,96.3,0.725,3.83,5.946,91.4,94.0,0.992,3.13,5.311,78.5,79.2,1.34,2.685,4.886,62.0,64.2,0.54
208,Kraft Notebook @130,73,15,2,12.4,28.09,281.8,271.3,4.5,14.031,27.765,413.4,397.5,6.724,11.193,29.79,99.6,99.6,1.5,204.169,229.174,14606.2,14130.7,231.55,11.068,29.786,93.4,92.4,1.5,10.19,28.796,86.0,83.9,1.497
210,Lanyard @180,317,63,1,13.968,15.127,183.9,180.1,21.0,11.719,12.882,157.6,154.2,18.496,16.855,19.282,205.2,201.5,21.574,15.022,18.081,184.0,180.4,20.301,18.315,19.39,219.1,215.1,23.527,4.724,6.763,40.6,40.6,1.94
211,Lanyard @190,128,26,0,1.692,2.631,42.5,42.5,,3.065,3.283,210.0,210.0,,1.556,2.258,57.1,57.1,,1.671,2.4,66.7,66.7,,2.017,2.848,59.9,59.9,,2.824,3.636,205.5,205.5,
215,Logo Sticker @25,83,17,0,1.941,2.555,88.7,88.7,,2.892,3.143,177.0,177.0,,45.282,57.468,2801.5,2801.5,,32.12,43.52,2233.1,2233.1,,2.1,3.008,64.3,64.3,,2.013,2.658,93.2,93.2,
217,Long Sticker @120,82,16,4,2.562,3.865,102.1,103.3,6.0,2.487,4.017,78.9,75.7,6.303,9.492,11.921,606.4,667.7,7.389,29.612,36.418,1453.7,1633.2,20.878,4.09,5.739,133.4,144.5,8.0,2.742,4.743,58.0,51.1,7.391
220,MJ Sticker Large,225,45,4,2.311,3.528,49.0,46.6,3.0,2.23,2.742,122.3,131.6,1.0,2.787,3.643,108.1,113.3,2.327,2.989,3.983,116.0,123.9,1.393,2.917,3.398,165.0,177.7,1.162,1.975,2.763,89.1,95.8,0.958
221,MJ Sticker Medium,260,52,3,2.538,4.215,69.6,70.1,5.0,3.911,4.529,188.9,194.7,3.819,4.468,5.742,127.4,129.1,7.333,4.516,6.042,129.4,131.6,6.902,3.839,4.676,154.2,157.7,5.009,3.737,4.763,142.4,146.1,4.649
222,MJ Sticker Small,271,54,3,4.111,6.739,164.1,170.5,4.333,5.672,7.419,257.7,267.5,5.169,5.851,8.279,213.1,221.6,6.878,5.733,8.608,184.5,192.1,6.111,6.606,8.307,307.0,319.0,4.768,4.935,7.29,216.7,225.5,4.792
224,Machete V2,70,14,3,0.929,1.669,26.9,28.2,0.667,1.033,1.401,57.1,55.5,0.911,2.776,3.302,189.7,214.1,1.667,10.066,16.041,795.6,985.4,1.667,1.421,1.833,106.3,117.7,1.02,1.115,1.548,54.1,53.5,1.069
237,New GT Shirts,155,31,4,0.935,2.008,25.5,24.6,1.0,1.348,1.829,92.1,93.4,1.185,0.98,1.745,49.5,48.2,0.969,1.303,2.035,74.3,75.6,1.072,1.777,2.549,86.6,84.6,2.0,0.978,1.937,34.7,34.6,0.995
239,New Keychain,96,19,0,6.947,16.658,51.1,51.1,,7.985,15.333,197.2,197.2,,16.396,21.858,643.9,643.9,,18.447,26.787,691.5,691.5,,7.437,16.624,85.3,85.3,,6.644,15.906,74.3,74.3,
244,New Tiger Plushie Big @850,103,21,0,2.476,4.024,58.1,58.1,,4.037,4.444,237.0,237.0,,441.579,542.678,18822.9,18822.9,,264.419,310.942,11599.0,11599.0,,3.377,3.842,183.3,183.3,,2.558,3.652,96.4,96.4,
246,New Tiger Plushie Small @750,93,19,0,1.579,2.224,42.6,42.6,,2.267,2.574,169.1,169.1,,172.442,212.847,9636.5,9636.5,,85.853,106.455,4793.7,4793.7,,1.44,2.022,47.0,47.0,,1.349,1.719,58.7,58.7,
253,Notelet,95,19,0,18.895,27.56,922.4,922.4,,16.427,27.19,725.7,725.7,,41.779,44.367,2642.0,2642.0,,43.977,47.751,2700.4,2700.4,,17.71,27.04,863.8,863.8,,12.814,27.011,397.9,397.9,
259,"Oversized shirt (V,B) @650",68,14,0,3.643,9.2,34.7,34.7,,4.336,8.53,153.8,153.8,,4.716,9.409,105.9,105.9,,4.452,9.607,93.7,93.7,,7.996,9.693,494.9,494.9,,3.571,8.653,66.8,66.8,
