Date,Item,Total Quantity,Supplier,imputation_flag,weight
15/05/2024,White Oat Mug,2,JUC,1,0.5
15/05/2024,Yellow Happy Tiger,11,JUC,1,0.5
15/05/2024,Yellow Oat Mug,1,JUC,1,0.5
15/05/2024,Poloshirt 3 Colors,1,JYL,0,1
15/05/2024,VB Jersey w/o sig.,1,JYL,0,1
15/05/2024,Side Tiger Hoodie,1,NAPOLIZ,0,1
15/05/2024,University of Santo Tomas (B),14,NAPOLIZ,0,1
15/05/2024,UST Tiger Front and Back Graphic (W),2,NAPOLIZ,0,1
15/05/2024,Wind Breaker,3,NAPOLIZ,0,1
15/05/2024,Sticker,6,TET AND DARS,0,1
15/05/2024,Black Lanyard,11,USTORE,1,0.5
15/05/2024,Eco Bag CGEEE!,1,USTORE,0,1
15/05/2024,Generic Lanyard,1,USTORE,1,0.5
15/05/2024,New Keychain,12,USTORE,1,0.5
15/05/2024,Sash Big,1,USTORE,0,1
15/05/2024,Sash Small,1,USTORE,0,1
15/05/2024,Tiger Stuff Toy Small Grad,5,USTORE,0,1
15/05/2024,Umb (One For UST),1,USTORE,0,1
15/05/2024,Varsity Lanyard,1,USTORE,1,0.5
15/05/2024,Black Lanyard,1,VARSITY LIFE STYLE,1,0.5
15/05/2024,Scarves,2,VARSITY LIFE STYLE,0,1
15/05/2024,Shirts,4,VARSITY LIFE STYLE,0,1
15/05/2024,UST Long Sticker,1,VARSITY LIFE STYLE,1,0.5
16/05/2024,Subli. Shirt,2,CENTRAL SEMINARY,0,1
16/05/2024,Tiger Shirt,1,IPEA,0,1
16/05/2024,UST OAT Hoodie Jacket,1,JUC,0,1
16/05/2024,UST OAT MUG (WE) Inside,11,JUC,0,1
16/05/2024,UST T-Shirt Sports,3,JUC,0,1
16/05/2024,UST T-Shirt Tiger Pattern,1,JUC,0,1
16/05/2024,White Oat Mug,3,JUC,1,0.5
16/05/2024,Yellow Oat Mug,2,JUC,1,0.5
16/05/2024,Jacket,1,JYL,0,1
16/05/2024,VB Jersey w/o sig.,3,JYL,0,1
16/05/2024,Front Tiger Hoodie,1,NAPOLIZ,0,1
16/05/2024,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ,0,1
16/05/2024,Side Tiger Hoodie,1,NAPOLIZ,0,1
16/05/2024,University of Santo Tomas (B),4,NAPOLIZ,0,1
16/05/2024,White Tote Bag,1,NAPOLIZ,0,1
16/05/2024,Wind Breaker,4,NAPOLIZ,0,1
16/05/2024,Arch,5,TET AND DARS,0,1
16/05/2024,Eco Bag,30,TET AND DARS,0,1
16/05/2024,Main Building,15,TET AND DARS,0,1
16/05/2024,Sticker,1,TET AND DARS,0,1
16/05/2024,Eco Bag CGEEE!,2,USTORE,0,1
16/05/2024,New Keychain,10,USTORE,1,0.5
16/05/2024,Sash Small,2,USTORE,0,1
16/05/2024,Tiger Stuff Toy Small Grad,31,USTORE,0,1
16/05/2024,Tote (One For UST),3,USTORE,0,1
16/05/2024,Tote Bag Canvas White,4,USTORE,0,1
16/05/2024,Tumbler,7,USTORE,0,1
16/05/2024,Umb (One For UST),33,USTORE,0,1
16/05/2024,Baller,1,VARSITY LIFE STYLE,0,1
16/05/2024,New Keychain,4,VARSITY LIFE STYLE,1,0.5
17/05/2024,Subli. Shirt,33,CENTRAL SEMINARY,0,1
17/05/2024,Black Happy Tiger,3,JUC,1,0.5
17/05/2024,UST OAT Hoodie Jacket,2,JUC,0,1
17/05/2024,UST OAT MUG (WE) Inside,2,JUC,0,1
17/05/2024,UST T-Shirt Sports,3,JUC,0,1
17/05/2024,UST T-Shirt Tiger Pattern,1,JUC,0,1
17/05/2024,White Oat Mug,3,JUC,1,0.5
17/05/2024,Yellow Happy Tiger,2,JUC,1,0.5
17/05/2024,Yellow Oat Mug,3,JUC,1,0.5
17/05/2024,Poloshirt 123456,2,JYL,0,1
17/05/2024,VB Jersey w/o sig.,1,JYL,0,1
17/05/2024,Front Tiger Hoodie,1,NAPOLIZ,0,1
17/05/2024,Script Santo Tomas with Tiger Back (B),2,NAPOLIZ,0,1
17/05/2024,University of Santo Tomas (B),6,NAPOLIZ,0,1
17/05/2024,White Tote Bag,3,NAPOLIZ,0,1
17/05/2024,Wind Breaker,1,NAPOLIZ,0,1
17/05/2024,Sticker,2,TET AND DARS,0,1
17/05/2024,Black Lanyard,6,USTORE,1,0.5
17/05/2024,New Keychain,11,USTORE,1,0.5
17/05/2024,Sash Small,1,USTORE,0,1
17/05/2024,Shabby Hat,1,USTORE,0,1
17/05/2024,Tiger Stuff Toy Small Grad,8,USTORE,0,1
17/05/2024,Tote Bag Canvas White,4,USTORE,0,1
17/05/2024,Tumbler,10,USTORE,0,1
17/05/2024,Umb (One For UST),2,USTORE,0,1
17/05/2024,Varsity Lanyard,1,USTORE,1,0.5
17/05/2024,Baller,2,VARSITY LIFE STYLE,0,1
17/05/2024,Black Lanyard,1,VARSITY LIFE STYLE,1,0.5
17/05/2024,Hoodie,2,VARSITY LIFE STYLE,0,1
17/05/2024,New Keychain,2,VARSITY LIFE STYLE,1,0.5
17/05/2024,Oversized Sweatshirt,2,VARSITY LIFE STYLE,0,1
17/05/2024,Scarves,1,VARSITY LIFE STYLE,0,1
17/05/2024,Shirts,1,VARSITY LIFE STYLE,0,1
17/05/2024,Varsity Jacket,2,VARSITY LIFE STYLE,0,1
20/05/2024,3 Color Polo Shirt,1,BLAZE,1,0.5
20/05/2024,Subli. Shirt,2,CENTRAL SEMINARY,0,1
20/05/2024,Black Happy Tiger,1,JUC,1,0.5
20/05/2024,UST OAT Hoodie Jacket,2,JUC,0,1
20/05/2024,UST OAT MUG (WE) Inside,2,JUC,0,1
