Date,Item,Total Quantity,Supplier
2024-05-10,Wind Breaker,7,NAPOLIZ
2024-05-10,Sticker,5,TET AND DARS
2024-05-10,Keychain,5,USTORE
2024-05-10,Lanyard,6,USTORE
2024-05-10,Shabby Hat,1,USTORE
2024-05-10,Tiger Stuff Toy Small Grad,1,USTORE
2024-05-10,Tote (One For UST),3,USTORE
2024-05-10,Tote Bag Canvas White,2,USTORE
2024-05-10,Tumbler,6,USTORE
2024-05-10,Umb (One For UST),4,USTORE
2024-05-10,Baller,2,VARSITY LIFE STYLE
2024-05-10,Caps,1,VARSITY LIFE STYLE
2024-05-10,Long Sticker,1,VARSITY LIFE STYLE
2024-05-10,Scarves,1,VARSITY LIFE STYLE
2024-05-10,Shirts,11,VARSITY LIFE STYLE
2024-05-10,Sticker Pack,1,VARSITY LIFE STYLE
2024-05-13,Polo Shirt,1,BLAZE
2024-05-13,Subli. Shirt,1,CENTRAL SEMINARY
2024-05-13,UST Happy Tiger,2,JUC
2024-05-13,UST OAT Hoodie Jacket,1,JUC
2024-05-13,UST OAT MUG,5,JUC
2024-05-13,UST T-Shirt Sports,12,JUC
2024-05-13,UST T-Shirt Tiger Pattern,8,JUC
2024-05-13,Jacket,1,JYL
2024-05-13,VB Jersey w/o sig.,1,JYL
2024-05-13,University of Santo Tomas (B),7,NAPOLIZ
2024-05-13,UST Tiger Front and Back Graphic (W),2,NAPOLIZ
2024-05-13,Wind Breaker,6,NAPOLIZ
2024-05-13,Arch,2,TET AND DARS
2024-05-13,Eco Bag,1,TET AND DARS
2024-05-13,Sticker,1,TET AND DARS
2024-05-13,Eco Bag CGEEE!,1,USTORE
2024-05-13,Keychain,6,USTORE
2024-05-13,Lanyard,4,USTORE
2024-05-13,Sash Big,1,USTORE
2024-05-13,Sash Small,2,USTORE
2024-05-13,Shabby Hat,1,USTORE
2024-05-13,Tiger Stuff Toy Small Grad,7,USTORE
2024-05-13,Tote (One For UST),1,USTORE
2024-05-13,Tote Bag Canvas White,2,USTORE
2024-05-13,Umb (One For UST),2,USTORE
2024-05-13,Baller,1,VARSITY LIFE STYLE
2024-05-13,Caps,1,VARSITY LIFE STYLE
2024-05-13,Lanyard,1,VARSITY LIFE STYLE
2024-05-13,Scarves,1,VARSITY LIFE STYLE
2024-05-13,Shirts,1,VARSITY LIFE STYLE
2024-05-14,Subli. Shirt,7,CENTRAL SEMINARY
2024-05-14,UST Happy Tiger,24,JUC
2024-05-14,UST OAT Hoodie Jacket,2,JUC
2024-05-14,UST T-Shirt Sports,23,JUC
2024-05-14,UST T-Shirt Tiger Pattern,11,JUC
2024-05-14,GT Shirt,1,JYL
2024-05-14,Jacket,2,JYL
2024-05-14,Laptop Bag,1,NAPOLIZ
2024-05-14,Script Santo Tomas with Tiger Back (B),1,NAPOLIZ
2024-05-14,University of Santo Tomas (B),12,NAPOLIZ
2024-05-14,UST Tiger Front and Back Graphic (W),1,NAPOLIZ
2024-05-14,Wind Breaker,1,NAPOLIZ
2024-05-14,Sticker,6,TET AND DARS
2024-05-14,Eco Bag CGEEE!,2,USTORE
2024-05-14,Keychain,5,USTORE
2024-05-14,Lanyard,8,USTORE
2024-05-14,Sash Small,5,USTORE
2024-05-14,Shabby Hat,1,USTORE
2024-05-14,Tiger Stuff Toy Small Grad,3,USTORE
2024-05-14,Tote (One For UST),2,USTORE
2024-05-14,Tote Bag Canvas White,1,USTORE
2024-05-14,Tumbler,4,USTORE
2024-05-14,Umb (One For UST),2,USTORE
2024-05-14,Baller,2,VARSITY LIFE STYLE
2024-05-14,Caps,3,VARSITY LIFE STYLE
2024-05-14,Scarves,2,VARSITY LIFE STYLE
2024-05-14,Shirts,2,VARSITY LIFE STYLE
2024-05-14,Varsity Jacket,3,VARSITY LIFE STYLE
2024-05-15,Polo Shirt,2,BLAZE
2024-05-15,Subli. Shirt,2,CENTRAL SEMINARY
2024-05-15,UST Happy Tiger,22,JUC
2024-05-15,UST OAT Hoodie Jacket,3,JUC
2024-05-15,UST OAT MUG,3,JUC
2024-05-15,UST T-Shirt Sports,14,JUC
2024-05-15,UST T-Shirt Tiger Pattern,17,JUC
2024-05-15,Poloshirt 3 Colors,1,JYL
2024-05-15,VB Jersey w/o sig.,1,JYL
2024-05-15,Side Tiger Hoodie,1,NAPOLIZ
2024-05-15,University of Santo Tomas (B),14,NAPOLIZ
2024-05-15,UST Tiger Front and Back Graphic (W),2,NAPOLIZ
2024-05-15,Wind Breaker,3,NAPOLIZ
2024-05-15,Sticker,6,TET AND DARS
2024-05-15,Eco Bag CGEEE!,1,USTORE
2024-05-15,Keychain,12,USTORE
2024-05-15,Lanyard,13,USTORE
2024-05-15,Sash Big,1,USTORE
2024-05-15,Sash Small,1,USTORE
2024-05-15,Tiger Stuff Toy Small Grad,5,USTORE
2024-05-15,Umb (One For UST),1,USTORE
