Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,Medium,OUTSIDE,,1450,2,,
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,Large,INSIDE,,1450,25,,
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,Large,OUTSIDE,,1450,1,,
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,XL,INSIDE,,1450,22,,
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,2XL,INSIDE,,1450,10,,
APPAREL,13/11/2024,3,Gray and White Sporty Sweatshirt,2XL,OUTSIDE,,1450,1,,
APPAREL,13/11/2024,4,Windbreaker,Large,INSIDE,,1650,20,,
APPAREL,13/11/2024,4,Windbreaker,Large,OUTSIDE,,1650,4,,
APPAREL,13/11/2024,4,Windbreaker,XL,INSIDE,,1650,19,,
APPAREL,13/11/2024,4,Windbreaker,XL,OUTSIDE,,1650,2,,
APPAREL,13/11/2024,5,Black Oat Hoodie,Small,INSIDE,,1450,6,,
APPAREL,13/11/2024,5,Black Oat Hoodie,Small,OUTSIDE,,1450,4,,
APPAREL,13/11/2024,5,Black Oat Hoodie,Medium,INSIDE,,1450,22,,
APPAREL,13/11/2024,5,Black Oat Hoodie,Medium,OUTSIDE,,1450,2,,
APPAREL,13/11/2024,5,Black Oat Hoodie,Large,INSIDE,,1450,20,,
APPAREL,13/11/2024,5,Black Oat Hoodie,XL,INSIDE,,1450,16,,
APPAREL,13/11/2024,5,Black Oat Hoodie,XL,OUTSIDE,,1450,1,,
APPAREL,13/11/2024,5,Black Oat Hoodie,2XL,INSIDE,,1450,20,,
APPAREL,13/11/2024,6,Gray Oat Hoodie,Medium,INSIDE,,1450,4,,
APPAREL,13/11/2024,6,Gray Oat Hoodie,Medium,OUTSIDE,,1450,1,,
APPAREL,13/11/2024,6,Gray Oat Hoodie,2XL,INSIDE,,1450,6,,
APPAREL,13/11/2024,6,Gray Oat Hoodie,2Xl,OUTSIDE,,1450,3,,
