item_name,fsn_class,supplier_name
Hoodie,S,VARSITY LIFESTYLE
Hoodies Breaker,S,NAPOLIZ ENTERPRISES
ID Case @20,S,USTORE
IPEA Shirt,S,IPEA
Insignia Pen,S,USTORE
JUC Corp Jacket,S,
Jacket,S,JYL ATHLETICA
Jersey Short,S,JYL ATHLETICA
"Keep Growling OS (B,V)",S,THREADMARKED
Keychain @180,S,TET AND DARS
Kit Set,S,USTORE
Leather Bag,S,"ASSOCIATION FOR THE EDUCATIONAL ASSISTANCE OF POOR SEMINARIANS, INC."
Logo Keychain @200,S,TET AND DARS
Logo Sticker @30,S,TET AND DARS
Long Sticker @120,S,TET AND DARS
MJ Charger,S,USTORE
MJ Sticker Bundle,S,USTORE
Machete V2,S,JYL ATHLETICA
Main Building,S,TET AND DARS
Mug @170,S,TET AND DARS
Mug @220,S,TET AND DARS
NB @100,S,USTORE
NB @75,S,USTORE
New GT Shirts,S,VARSITY LIFESTYLE
New Keychain,S,
New Polo Shirt (EMBROIDED),S,BLAZE
New Tiger Plushie Small @750,S,USTORE
New UST Keychain,S,
Notebook @220,S,TET AND DARS
OAT Tote Bag (Phased Out),S,JUC
Oversized Sweatshirt,S,VARSITY LIFESTYLE
Paper Bag  @ 130,S,TET AND DARS
Paper Bag @80,S,TET AND DARS
Paper Bag BIG @130,S,TET AND DARS
Paper Bag SMALL @80,S,TET AND DARS
Paper weight @330,S,USTORE
Pen @ 50,S,TET AND DARS
Pen @25,S,TET AND DARS
Pen with BOX,S,NEW TRENDS
Pencil,S,USTORE
Picasso Pen,S,USTORE
Polo Shirt @800,S,BLAZE
Poloshirt 123456 @860,S,JYL ATHLETICA
Poloshirt 3 Colors,S,JYL ATHLETICA
Poloshirt @800,S,JYL ATHLETICA
Powerbank,S,USTORE
Pure Black Laptop Bag,S,
Quiana Black Subli Shirt,S,
Quiana Yelloow Subli Shirt,S,
Retractable @25,S,MITSUI
S88 UAAP Poloshirt,S,SHIRT HAPPENS
SM Tiger Plushie Big V2,S,USTORE
SM Tiger Plushie Small V2,S,USTORE
SM Tiger Plushie V2,S,USTORE
Sash Big,S,USTORE
Sash Small,S,USTORE
Scarf @490,S,USTORE
Scarves,S,VARSITY LIFESTYLE
