item_name,fsn_class,ordering_cost_scenario,safety_stock,reorder_point,eoq
Aquaflask,S,low_admin_cost,10.744918026970511,23.56683583518969,668.0910972956565
Arch @320,S,high_goods_value,8.642040498579348,15.200944608168388,6044.1442735924165
Arch @320,S,low_admin_cost,8.642040498579348,15.200944608168388,477.8315602803984
Arch @350,F,high_goods_value,14.727488464637835,31.54392682080222,9678.012783034099
Arch @350,F,low_admin_cost,14.727488464637835,31.54392682080222,765.1140904653183
Automatic Umbrella,F,high_goods_value,13.661578181637736,30.379386400815818,9649.58977662485
Automatic Umbrella,F,low_admin_cost,13.661578181637736,30.379386400815818,762.8670545102487
BASE BALL SHIRT,S,high_goods_value,5.267223412543344,6.417908344050193,2870.5798319204728
BASE BALL SHIRT,S,low_admin_cost,5.267223412543344,6.417908344050193,226.93926185530032
Baller,S,high_goods_value,4.155542366777259,4.25417250376356,741.1805255324585
Baller,S,low_admin_cost,4.155542366777259,4.25417250376356,58.595465451078816
Ballpen 2 Designs @50 (B&Y),F,high_goods_value,72.50804085811669,131.58749291291122,18140.005355173253
Ballpen 2 Designs @50 (B&Y),F,low_admin_cost,72.50804085811669,131.58749291291122,1434.0933422499786
"Ballpen 3 Designs @50 (B,Y,W)",F,high_goods_value,64.95128821059424,127.82800053936137,18713.890944582163
"Ballpen 3 Designs @50 (B,Y,W)",F,low_admin_cost,64.95128821059424,127.82800053936137,1479.4629817219875
Bamboo Notebook @150,S,high_goods_value,12.302560220062809,29.858724603624452,9888.581582526673
Bamboo Notebook @150,S,low_admin_cost,12.302560220062809,29.858724603624452,781.7610157294143
Bamboo Pen @60,S,high_goods_value,12.727468086548901,28.804180415316026,9462.759488799085
Bamboo Pen @60,S,low_admin_cost,12.727468086548901,28.804180415316026,748.0968233743926
Baseball Cap METAL @380,S,high_goods_value,5.437762019186666,14.708994895898995,7186.011808665897
Baseball Cap METAL @380,S,low_admin_cost,5.437762019186666,14.708994895898995,568.1041152062584
Baseball Cap VELCRO @380,S,high_goods_value,0.043672334853905904,0.09298740334705659,524.0937756874105
Baseball Cap VELCRO @380,S,low_admin_cost,0.043672334853905904,0.09298740334705659,41.43325096723989
Big Car,S,high_goods_value,1.0876917308901348,2.4685136486983543,2773.243588291515
Big Car,S,low_admin_cost,1.0876917308901348,2.4685136486983543,219.24415613648634
Black Eco Bag,F,high_goods_value,61.72950000955656,131.3623767218853,19693.65612141563
Black Eco Bag,F,low_admin_cost,61.72950000955656,131.3623767218853,1556.9202199947727
Black Embro Oversized Shirt,S,high_goods_value,1.2378136319996818,2.56932048131475,2723.271142263604
