product_id,item_name,legacy_category,fsn_class,forecast_category
331,Subli 2 Color Polo Shirt (yellow/black w/white line),Shirts & Tops,N,Shirts & Tops
332,Subli Polo Shirt,Shirts & Tops,N,Shirts & Tops
333,Subli Yellow/Black w/ Yellow Collar,Shirts & Tops,N,Shirts & Tops
334,Subli Yellow/White Shirt w/ Black Sleeves,Shirts & Tops,N,Shirts & Tops
335,Subli. Shirt,Shirts & Tops,S,Shirts & Tops
336,Subli. Shirt 2 colors,Shirts & Tops,S,Shirts & Tops
337,Sweatshirt (NEW),Outerwear,S,Outerwear
338,Taslan Hoodie Windbreaker,Outerwear,N,Outerwear
339,Taslan NEW,Uncategorised,S,Uncategorised
340,Thick Lanyard,Lanyards & IDs,F,Lanyards & IDs
341,Thomasian Kit,Uncategorised,S,Uncategorised
342,Thomasian Kit Set,Uncategorised,S,Uncategorised
343,Tiger BUNDLE,Uncategorised,S,Uncategorised
344,Tiger Brooch,Uncategorised,N,Uncategorised
345,Tiger Claw,Uncategorised,S,Uncategorised
346,Tiger Claw Keychain @375,Keychains & Charms,F,Keychains & Charms
347,Tiger Costume,Uncategorised,S,Uncategorised
348,Tiger Custome,Uncategorised,N,Uncategorised
349,Tiger Headband (2 Designs),Apparel Accessories,S,Apparel Accessories
350,Tiger Paw Keychain @375,Keychains & Charms,F,Keychains & Charms
351,Tiger Plushie Big,Plush & Souvenirs,S,Plush & Souvenirs
352,Tiger Plushie Small,Plush & Souvenirs,F,Plush & Souvenirs
353,Tiger Stuff Toy Small Grad,Plush & Souvenirs,S,Plush & Souvenirs
354,Tiger w/ Box,Plush & Souvenirs,F,Plush & Souvenirs
355,Tote (One For UST),Bags,S,Bags
356,Tote (Viva),Bags,F,Bags
357,Tote Bag Black,Bags,S,Bags
358,Tote Bag Canvas White,Bags,F,Bags
359,Tote Viva Santo Tomas,Bags,F,Bags
360,Tourism Shirt (green/blue),Shirts & Tops,N,Shirts & Tops
361,Travel Mug,Drinkware,S,Drinkware
362,Triple Black Embro,Shirts & Tops,S,Shirts & Tops
363,Triple Black Embroidered Shirt,Shirts & Tops,N,Shirts & Tops
364,Triple White Embro,Shirts & Tops,S,Shirts & Tops
365,Tripple Embro Black Shirt,Shirts & Tops,S,Shirts & Tops
366,Tripple Embro White Shirt,Shirts & Tops,N,Shirts & Tops
367,Trucker Cap,Umbrellas & Gear,S,Umbrellas & Gear
368,Tumbler,Drinkware,S,Drinkware
369,Two-toned windbreaker @1700,Outerwear,S,Outerwear
370,"UST 1611 Embro Shirt (B,V)",Shirts & Tops,S,Shirts & Tops
371,UST 3D Keychain,Keychains & Charms,N,Keychains & Charms
372,UST Arch Clicker,Keychains & Charms,S,Keychains & Charms
373,UST Black  Cup,Uncategorised,N,Uncategorised
374,UST Car Big (1:64),Uncategorised,N,Uncategorised
375,UST Chibi Sticker Set 1,Stationery,N,Stationery
376,UST Chibi Sticker Set 2,Stationery,N,Stationery
377,UST College ID Lace,Lanyards & IDs,F,Lanyards & IDs
378,UST College ID Lace / GENERIC Lace,Lanyards & IDs,F,Lanyards & IDs
379,UST College Lanyard (display included),Lanyards & IDs,N,Lanyards & IDs
380,"UST Embro OS (B,V)",Shirts & Tops,F,Shirts & Tops
381,UST Keyboard Clicker (Fidget),Keychains & Charms,F,Keychains & Charms
382,UST Keychain,Keychains & Charms,S,Keychains & Charms
383,UST Logo Clicker,Keychains & Charms,S,Keychains & Charms
384,UST Logo Embro Polo Shirt (2XL-3XL),Shirts & Tops,S,Shirts & Tops
385,UST Logo Embro Polo Shirt (XS-XL),Shirts & Tops,S,Shirts & Tops
386,UST Long Sticker,Stationery,S,Stationery
387,UST Mystery Car Small  (1:32),Uncategorised,N,Uncategorised
388,UST OAT Hoodie Jacket,Outerwear,S,Outerwear
389,UST OAT MUG (B),Drinkware,F,Drinkware
390,UST OAT MUG (Pure Black),Drinkware,S,Drinkware
391,UST OAT MUG (W inside),Drinkware,S,Drinkware
392,"UST OAT MUG (Y,W)",Drinkware,F,Drinkware
393,"UST OAT MUG (Y,W,B)",Drinkware,F,Drinkware
394,UST OAT MUG (Y/B inside),Drinkware,F,Drinkware
395,UST OAT T-Shirt Y/B/COLLEGE,Shirts & Tops,F,Shirts & Tops
396,UST OAT T-Shirt Y/B/COLLEGE (3XL),Shirts & Tops,S,Shirts & Tops
397,UST OAT T-Shirt Y/B/COLLEGE (XS-2XL),Shirts & Tops,F,Shirts & Tops
398,UST Santo Tomas Script T-Shirt,Shirts & Tops,S,Shirts & Tops
399,UST Sweatshirt Sporty,Outerwear,S,Outerwear
400,UST T-Shirt (College Shirt),Shirts & Tops,F,Shirts & Tops
401,UST T-Shirt Happy Tiger,Shirts & Tops,F,Shirts & Tops
402,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,Shirts & Tops,F,Shirts & Tops
403,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY/Script,Shirts & Tops,F,Shirts & Tops
404,UST T-Shirt Sporty,Shirts & Tops,F,Shirts & Tops
405,UST T-Shirt Sporty UPSIZE (3XL-5XL),Shirts & Tops,S,Shirts & Tops
406,UST T-Shirt Tiger Pattern,Shirts & Tops,F,Shirts & Tops
407,"UST TIGERS Oversized shirt (V,B) @650",Shirts & Tops,S,Shirts & Tops
408,UST Tigers Oversize Black Shirt,Shirts & Tops,N,Shirts & Tops
409,UST Tigers Oversize Vanilla Shirt,Shirts & Tops,N,Shirts & Tops
410,UST Toddler Hoodie,Outerwear,S,Outerwear
411,UST Yellow Cup,Uncategorised,N,Uncategorised
412,UST-Pen W/Box,Stationery,S,Stationery
413,USTORE Voucher (1000),Uncategorised,S,Uncategorised
414,USTORE Voucher (200),Uncategorised,S,Uncategorised
415,USTORE Voucher (500),Uncategorised,S,Uncategorised
416,USTVL  Yellow Shirt,Shirts & Tops,N,Shirts & Tops
417,USTVL Black Shirt,Shirts & Tops,N,Shirts & Tops
418,USTWBT Championship Shirt 2025,Shirts & Tops,S,Shirts & Tops
419,Umb (One For UST),Umbrellas & Gear,F,Umbrellas & Gear
420,Umb Old @250,Umbrellas & Gear,S,Umbrellas & Gear
421,Umb. Cane,Umbrellas & Gear,S,Umbrellas & Gear
422,Umbrella,Umbrellas & Gear,N,Umbrellas & Gear
423,University Shirt (Black UAAP Shirt),Shirts & Tops,N,Shirts & Tops
424,Ust Generic Lanyard (display included),Lanyards & IDs,N,Lanyards & IDs
425,Utensil,Home & Novelty,S,Home & Novelty
426,Utensils ( display included),Home & Novelty,N,Home & Novelty
427,V. Basketball Sticker Pack (B1),Stationery,N,Stationery
428,V. Basketball Sticker Pack (B2),Stationery,N,Stationery
429,V. Volleyball Sticker,Stationery,N,Stationery
430,V. Volleyball Sticker (V1),Stationery,N,Stationery
431,V. Volleyball Sticker (V2),Stationery,N,Stationery
432,VB Jersey with Sig. @1800,Shirts & Tops,S,Shirts & Tops
433,VB Jersey with Sig. @2800,Shirts & Tops,S,Shirts & Tops
434,VB Jersey without Sig @1000,Shirts & Tops,S,Shirts & Tops
435,VB Jersey without Sig @1500,Shirts & Tops,S,Shirts & Tops
436,VB Jersey without Sig @2000,Shirts & Tops,S,Shirts & Tops
437,VL Keychain,Keychains & Charms,S,Keychains & Charms
438,VL Lanyard,Lanyards & IDs,S,Lanyards & IDs
439,VL Sticker Pack,Stationery,S,Stationery
440,Vanilla Embro Oversized Shirt,Shirts & Tops,N,Shirts & Tops
441,Vanilla Hoodie Embro,Outerwear,N,Outerwear
442,Vanilla Keep Growling Oversized Shirt,Shirts & Tops,N,Shirts & Tops
443,Varsity Classic Yellow Shirt,Shirts & Tops,N,Shirts & Tops
444,Varsity Hoodie,Outerwear,N,Outerwear
445,Varsity Jacket,Outerwear,S,Outerwear
446,Varsity Jacket Embro,Outerwear,S,Outerwear
447,Varsity Lanyard,Lanyards & IDs,S,Lanyards & IDs
448,Varsity Lanyard V1,Lanyards & IDs,N,Lanyards & IDs
449,Varsity Lanyard V2,Lanyards & IDs,N,Lanyards & IDs
450,Varsity Long Sticker,Stationery,S,Stationery
451,Varsity Retro Shirt,Shirts & Tops,N,Shirts & Tops
452,Varsity Sticker,Stationery,N,Stationery
453,Varsity Sweatshirt,Outerwear,N,Outerwear
454,Varsity UST Baseball Shirt,Shirts & Tops,N,Shirts & Tops
455,Varsity UST Keychain,Keychains & Charms,S,Keychains & Charms
456,Viva Tote Bag,Bags,N,Bags
457,Volleyball Athletic V.1,Uncategorised,N,Uncategorised
458,Volleyball Jersey,Shirts & Tops,N,Shirts & Tops
459,Wearable Blanket,Uncategorised,N,Uncategorised
460,White - Yellow Inside Mug,Drinkware,N,Drinkware
461,White Baseball Shirt,Shirts & Tops,S,Shirts & Tops
462,White Big Clock,Home & Novelty,N,Home & Novelty
463,White Blaze Polo Shirt,Shirts & Tops,N,Shirts & Tops
464,White Clock,Home & Novelty,N,Home & Novelty
465,White Embro,Shirts & Tops,S,Shirts & Tops
466,White Hoodie (black tiger head design),Outerwear,N,Outerwear
467,White Hoodie w/ Gold TIgers Lettering,Outerwear,N,Outerwear
468,White Hoodie w/ black tiger head,Outerwear,N,Outerwear
469,White Hoodie w/ gold tiger head,Outerwear,N,Outerwear
470,White Oat Mug,Drinkware,N,Drinkware
471,White Pen 1 lines,Stationery,N,Stationery
472,White Pen 2 lines,Stationery,N,Stationery
473,White Polo Shirt w/ black scratch,Shirts & Tops,N,Shirts & Tops
474,White Shirt (script lettering),Shirts & Tops,N,Shirts & Tops
475,White Shirt (tiger picture),Shirts & Tops,N,Shirts & Tops
476,White Small Clock,Home & Novelty,N,Home & Novelty
477,White Tote Bag,Bags,F,Bags
478,White UAAP Subli Polo Shirt,Shirts & Tops,N,Shirts & Tops
479,Windbreaker,Outerwear,S,Outerwear
480,Woven Sling Bag (LARGE),Bags,S,Bags
481,Woven Sling Bag (SMALL),Bags,S,Bags
482,Woven Tote Bag (BIG),Bags,S,Bags
483,Woven Tote Bag (SMALL),Bags,S,Bags
484,"Y,B VL UST",Uncategorised,S,Uncategorised
485,Yellow Aquaflask (display included),Drinkware,N,Drinkware
486,Yellow Baseball Shirt,Shirts & Tops,S,Shirts & Tops
487,Yellow Big Clock,Home & Novelty,N,Home & Novelty
488,Yellow Click Pen,Stationery,N,Stationery
489,Yellow Clock,Home & Novelty,N,Home & Novelty
490,Yellow Double Canopy Umbrella,Umbrellas & Gear,S,Umbrellas & Gear
491,Yellow Gold Umbrella,Umbrellas & Gear,N,Umbrellas & Gear
492,Yellow Golden Tigresses,Uncategorised,N,Uncategorised
493,Yellow Golf Umbrella,Umbrellas & Gear,N,Umbrellas & Gear
494,Yellow Happy Tiger,Uncategorised,N,Uncategorised
495,Yellow Hoodie Embro,Outerwear,N,Outerwear
496,Yellow Hoodie w/ Tigers Lettering,Outerwear,N,Outerwear
497,Yellow Hoodie w/ black tiger head,Outerwear,N,Outerwear
498,Yellow Id Lanyard,Lanyards & IDs,S,Lanyards & IDs
499,Yellow Lanyard,Lanyards & IDs,N,Lanyards & IDs
500,Yellow Laptop Bag,Bags,S,Bags
501,Yellow Notebook,Stationery,S,Stationery
502,Yellow Oat Mug,Drinkware,N,Drinkware
503,Yellow Oat Shirt,Shirts & Tops,N,Shirts & Tops
504,Yellow Pen 1 line,Stationery,N,Stationery
505,Yellow Pen 2 lines,Stationery,N,Stationery
506,Yellow Polo Shirt w/ black scratch,Shirts & Tops,N,Shirts & Tops
507,Yellow Quina Two Toned,Uncategorised,N,Uncategorised
508,Yellow Script Shirt,Shirts & Tops,N,Shirts & Tops
509,Yellow Shirt (tiger head print in middle),Shirts & Tops,N,Shirts & Tops
510,Yellow Shirt (tiger head print infront),Shirts & Tops,N,Shirts & Tops
511,Yellow Shirt Volleyball,Shirts & Tops,N,Shirts & Tops
512,Yellow Small Clock,Home & Novelty,N,Home & Novelty
513,Yellow Sporty Shirt,Shirts & Tops,N,Shirts & Tops
514,Yellow UST Scarves,Apparel Accessories,N,Apparel Accessories
515,Yellow Wearable Blanket,Uncategorised,S,Uncategorised
516,Yellow/Black Lanyard,Lanyards & IDs,S,Lanyards & IDs
517,Yelow Laptop Bag,Bags,S,Bags
518,Yelow Tiger Pattern,Uncategorised,N,Uncategorised
519,w/ black collar,Uncategorised,N,Uncategorised
