product_id,item_name,legacy_category,fsn_class,forecast_category
17,2 Color Polo Shirt (white w/yellow sleeves),Shirts & Tops,N,Shirts & Tops
18,2 Color Polo Shirt (yellow w/black collar),Shirts & Tops,N,Shirts & Tops
19,2 Color Polo Shirt (yelow w/black scratch),Shirts & Tops,N,Shirts & Tops
20,2.25 Glitter Button Pin (main building),Keychains & Charms,N,Keychains & Charms
21,2.25 Glossy Button Pin (main building),Keychains & Charms,N,Keychains & Charms
22,2.25 Matte Button Pin (main building),Keychains & Charms,N,Keychains & Charms
23,280ml Desk Mug,Drinkware,S,Drinkware
24,280ml Desk Mug / MCIA028,Drinkware,S,Drinkware
25,3 Color Polo Shirt,Shirts & Tops,N,Shirts & Tops
26,480ml Tumbler (MKA-KO48)Push Botton Lid Anti Bacterial,Drinkware,S,Drinkware
27,500ml Tumbler (MTA-T050) for Carbonated drinks,Drinkware,S,Drinkware
28,5M Magnetic Pin,Keychains & Charms,S,Keychains & Charms
29,5M Rotating Keychain,Keychains & Charms,F,Keychains & Charms
30,800ml Sports Tumbler (MCZ-2080) screw lid anti bacterial,Drinkware,N,Drinkware
31,800ml Sports Tumbler (MCZ-S040) screw lid antibacterial,Drinkware,S,Drinkware
32,800ml Sports Tumbler (MCZ-S080) screw lid antibacterial,Drinkware,S,Drinkware
33,800ml Tumbler (MTA-T080) for Carbonated drinks,Drinkware,S,Drinkware
34,ABSC College Shirt (60th),Shirts & Tops,S,Shirts & Tops
35,Alessandrini,Uncategorised,N,Uncategorised
36,Aquaflask,Drinkware,S,Drinkware
37,Arch,Plush & Souvenirs,N,Plush & Souvenirs
38,Arch @320,Plush & Souvenirs,S,Plush & Souvenirs
39,Arch @350,Plush & Souvenirs,F,Plush & Souvenirs
40,Arch Clicker,Keychains & Charms,N,Keychains & Charms
41,Architecture (maroon/yellow),Uncategorised,N,Uncategorised
42,Artic Back Pack,Uncategorised,S,Uncategorised
43,Arts & Letters Shirt (blue/gray),Shirts & Tops,N,Shirts & Tops
44,Athletic Shirt V2(Yellow UAAP Shirt),Shirts & Tops,N,Shirts & Tops
45,Athletic V.1,Uncategorised,N,Uncategorised
46,Athletic V.2,Uncategorised,N,Uncategorised
47,Auto Umbrella,Umbrellas & Gear,S,Umbrellas & Gear
48,Automatic Umbrella,Umbrellas & Gear,F,Umbrellas & Gear
49,BASE BALL SHIRT,Shirts & Tops,S,Shirts & Tops
50,Back pack,Uncategorised,N,Uncategorised
51,Bag,Bags,S,Bags
52,Baller,Uncategorised,S,Uncategorised
53,Ballpen (display included),Stationery,N,Stationery
54,Ballpen 2 Designs @50 (B&Y),Stationery,F,Stationery
55,"Ballpen 3 Designs @50 (B,Y,W)",Stationery,F,Stationery
56,Ballpen w/ Box,Stationery,N,Stationery
57,Bamboo Notebook @150,Stationery,S,Stationery
58,Bamboo Pen @60,Stationery,S,Stationery
59,Baseball Cap METAL @380,Umbrellas & Gear,S,Umbrellas & Gear
60,Baseball Cap VELCRO @380,Umbrellas & Gear,S,Umbrellas & Gear
61,"Baseball Shirt (Y,W)",Shirts & Tops,N,Shirts & Tops
62,Basketball V.1,Uncategorised,N,Uncategorised
63,Basketball V.2,Uncategorised,N,Uncategorised
64,Big Car,Uncategorised,S,Uncategorised
65,Big Handcrafted Sling Bag,Bags,N,Bags
66,Big Handcrafted Tote Bag,Bags,N,Bags
67,Big Mystery Car,Uncategorised,S,Uncategorised
68,Big Tiger,Uncategorised,N,Uncategorised
69,Big Tiger (display Included),Uncategorised,N,Uncategorised
70,Black Aquaflask (display included),Drinkware,N,Drinkware
71,Black Blaze Polo Shirt,Shirts & Tops,N,Shirts & Tops
72,Black Click Pen,Stationery,N,Stationery
