mae,mase_mean,mase_median,mase_trimmed,mase_weighted,mase_global,rmsse_mean,rmsse_median,pct_mase_from_worst10,n_skus,method,subset,mean_density
9.28513865721496,8.12279423480943,2.5406668087894015,6.676305301031048,11.664532456425366,2.8332138508945457,3.2544313126951367,1.7243560958271889,58.151637181397625,61,ets,rare (2-5%),3.4164653261716027
21.8185600188017,7.16727682828576,3.8918825743393066,6.098698734274179,11.792619716914563,2.973964763626914,3.8374784224227305,1.9538220044887107,60.75469181552493,50,ets,occasional (5-10%),7.2253349573690615
34.87109314869148,3.315656042580966,1.5672963461720357,2.8290266373334574,5.086063833449863,2.136988629250687,1.9493158981809835,1.236871718797194,56.71694151712798,55,ets,regular (10-25%),14.629609124128006
76.51052037523311,1.2522774896362674,1.0035349247714092,1.2003337278516815,1.6593021002879074,1.5309448217550445,1.0944892986754666,1.0522394501720833,81.7840736318391,14,ets,frequent (>25%),35.42717939794676
14.682457382025316,5.4464292391148135,1.8736590942716238,3.729391957234522,4.284115591787501,1.6796950988480448,1.8978003589974248,1.3874222956726454,32.62402829948102,262,ewma_a0.1,ALL,7.250006868572161
43.13415278530319,3.482981075880966,1.6083904206358226,2.9488959502893435,3.7795808487282874,1.698309042998582,1.6352603131368346,1.3240556818628981,55.45910097392235,58,ewma_a0.1,fast movers (F),13.96530723675921
6.748811548418983,6.004664501210712,1.9120150515921996,4.035646791844636,5.4334433900903605,1.6475058807942564,1.9724440975264161,1.4301331831950785,38.00422035721855,204,ewma_a0.1,slow movers (S),5.377471188981541
1.4656123120832536,7.981456047749932,1.8818410330615722,4.761849829659777,15.532406479370144,0.7805074850902285,1.9892808567332743,1.40415939618822,71.13032012477223,82,ewma_a0.1,almost never (<2%),0.6769962892672011
5.352189033330673,5.889910411922711,2.207964610305489,5.294801085565992,8.139612856196996,1.633136204170235,2.0608080415227263,1.5277867001872483,54.178652355707285,61,ewma_a0.1,rare (2-5%),3.4164653261716027
14.225040653216267,4.819423683778458,3.74619952076883,4.247590204722645,7.930420674986541,1.9389349997144765,2.031374284079985,1.9853646507842184,56.14103093716256,50,ewma_a0.1,occasional (5-10%),7.2253349573690615
30.497786940698038,2.789860077654383,1.595733451707902,2.6117089086164094,4.16069348154015,1.8689813832815683,1.6342695294220007,1.2087673683368587,48.12147021488877,55,ewma_a0.1,regular (10-25%),14.629609124128006
76.02693995337121,1.3419315103848157,1.3181361916735392,1.3173611433949175,1.628077898320717,1.521268571494025,1.2099882107215187,1.1725357571292658,81.07353843364996,14,ewma_a0.1,frequent (>25%),35.42717939794676
34.24404761904762,8.726847083107078,2.532640513401724,6.269508867659026,9.612640998487123,3.917761315289774,4.672940907500587,2.0342043516906294,25.138668509901915,262,naive,ALL,7.250006868572161
104.19396551724138,8.519731148610758,2.7956768130441647,5.867860287310667,9.208912176197193,4.10240012698489,4.940167562106284,2.2965083967868614,65.29189433505788,58,naive,fast movers (F),13.96530723675921
14.738782051282051,8.78573298605211,2.5046525413587553,6.426843597889613,10.53233337808492,3.5984641839144897,4.596964701779361,1.9810764369103582,28.646193932495407,204,naive,slow movers (S),5.377471188981541
1.6172480620155043,7.998327572920741,1.3397605855313308,4.9159948808446385,14.13299223764003,0.8614747801765098,3.5184175087647738,1.1960273739402,63.87431256349481,82,naive,almost never (<2%),0.6769962892672011
6.647540983606557,10.356337014169375,2.470122314750771,8.25270450404176,13.842076859242852,2.0283924542697576,4.386214319590213,2.0398056226824903,62.6089390263113,61,naive,rare (2-5%),3.4164653261716027
35.17166666666667,12.142580114721902,5.178302205525677,9.027126155315624,19.05887203552437,4.794051360610491,7.177063291874864,4.144022288997455,61.35468518318452,50,naive,occasional (5-10%),7.2253349573690615
64.09545454545454,6.174791052928893,2.552852576414853,5.400911662543111,9.044872266279441,3.9279312801075874,4.60759878753753,2.2454557736122265,55.44999655438547,55,naive,regular (10-25%),14.629609124128006
234.32142857142853,3.720857377359837,3.3480567273680686,3.5817152433078028,5.2346948510900155,4.688677791476596,3.997865045938018,3.0787479514797904,86.29940944929115,14,naive,frequent (>25%),35.42717939794676
