forecast_category,origin,actual_30d,n_trading_days,n_train_obs,tier,cap,naive_scale,pred_30d,fallback,capped,regressors,error
Drinkware,2025-11-10,234.0,22,173,n/a,,99.75,294.79999999999995,0,0,,
Drinkware,2025-12-10,202.0,9,191,n/a,,94.0,121.8,0,0,,
Drinkware,2026-01-09,84.0,21,200,n/a,,117.6,313.6,0,0,,
Drinkware,2026-02-08,100.0,18,217,n/a,,58.666666666666664,203.40000000000003,0,0,,
Drinkware,2026-03-10,132.0,20,233,n/a,,120.16666666666667,114.66666666666667,0,0,,
Drinkware,2026-04-09,309.0,21,245,n/a,,74.57142857142857,165.90000000000003,0,0,,
Drinkware,2026-05-09,240.0,19,261,n/a,,179.85714285714286,286.90000000000003,0,0,,
Drinkware,2026-06-08,206.0,22,278,n/a,,91.5,367.3999999999999,0,0,,
Home & Novelty,2025-09-10,13.0,27,61,n/a,,56.0,186.30000000000004,0,0,,
Home & Novelty,2025-10-10,4.0,17,65,n/a,,113.0,94.63333333333333,0,0,,
Home & Novelty,2025-11-09,51.0,22,69,n/a,,202.0,83.59999999999998,0,0,,
Home & Novelty,2025-12-09,30.0,10,73,n/a,,23.0,50.33333333333333,0,0,,
Home & Novelty,2026-01-08,30.0,21,77,n/a,,6.0,123.90000000000003,0,0,,
Home & Novelty,2026-02-07,6.0,17,84,n/a,,77.0,82.16666666666666,0,0,,
Home & Novelty,2026-03-09,13.0,21,87,n/a,,81.0,97.30000000000004,0,0,,
Home & Novelty,2026-04-08,93.0,20,93,n/a,,74.0,91.33333333333331,0,0,,
Home & Novelty,2026-05-08,22.0,19,98,n/a,,83.5,141.86666666666667,0,0,,
Home & Novelty,2026-06-07,113.0,22,106,n/a,,17.0,133.46666666666664,0,0,,
Keychains & Charms,2025-07-13,227.0,23,176,n/a,,206.5,351.13333333333327,0,0,,
Keychains & Charms,2025-08-12,233.0,23,190,n/a,,273.2,318.16666666666663,0,0,,
Keychains & Charms,2025-09-11,309.0,27,210,n/a,,174.5,374.40000000000003,0,0,,
Keychains & Charms,2025-10-11,337.0,17,230,n/a,,263.5,241.96666666666664,0,0,,
Keychains & Charms,2025-11-10,795.0,22,243,n/a,,189.85714285714286,404.79999999999984,0,0,,
Keychains & Charms,2025-12-10,222.0,9,261,n/a,,317.0,334.5,0,0,,
Keychains & Charms,2026-01-09,1127.0,21,270,n/a,,213.25,752.5000000000002,0,0,,
Keychains & Charms,2026-02-08,177.0,18,290,n/a,,318.625,837.0,0,0,,
Keychains & Charms,2026-03-10,175.0,20,308,n/a,,229.44444444444446,747.9999999999999,0,0,,
Keychains & Charms,2026-04-09,219.0,21,324,n/a,,357.44444444444446,226.80000000000007,0,0,,
Keychains & Charms,2026-05-09,881.0,19,340,n/a,,292.6,234.9666666666667,0,0,,
Keychains & Charms,2026-06-08,580.0,22,358,n/a,,344.5,791.2666666666669,0,0,,
Lanyards & IDs,2025-07-13,1046.0,23,180,n/a,,229.4,352.6666666666666,0,0,,
Lanyards & IDs,2025-08-12,1116.0,23,194,n/a,,296.0,1001.2666666666664,0,0,,
Lanyards & IDs,2025-09-11,1085.0,27,214,n/a,,393.6666666666667,1833.3000000000004,0,0,,
Lanyards & IDs,2025-10-11,669.0,17,234,n/a,,367.8333333333333,916.3,0,0,,
Lanyards & IDs,2025-11-10,1179.0,22,247,n/a,,409.0,1174.8000000000002,0,0,,
Lanyards & IDs,2025-12-10,355.0,9,266,n/a,,407.42857142857144,529.5,0,0,,
Lanyards & IDs,2026-01-09,1538.0,21,275,n/a,,362.125,1120.6999999999998,0,0,,
Lanyards & IDs,2026-02-08,566.0,18,295,n/a,,300.75,1162.1999999999998,0,0,,
Lanyards & IDs,2026-03-10,342.0,20,313,n/a,,230.66666666666666,1202.666666666667,0,0,,
Lanyards & IDs,2026-04-09,341.0,21,329,n/a,,502.22222222222223,545.3,0,0,,
Lanyards & IDs,2026-05-09,623.0,19,345,n/a,,359.1,384.4333333333334,0,0,,
Lanyards & IDs,2026-06-08,1040.0,22,363,n/a,,371.09090909090907,643.1333333333334,0,0,,
Outerwear,2025-07-13,171.0,23,181,n/a,,123.0,383.3333333333335,0,0,,
Outerwear,2025-08-12,288.0,23,194,n/a,,91.0,312.0333333333333,0,0,,
Outerwear,2025-09-11,412.0,27,214,n/a,,101.83333333333333,388.79999999999995,0,0,,
Outerwear,2025-10-11,248.0,17,235,n/a,,95.16666666666667,314.5,0,0,,
Outerwear,2025-11-10,404.0,22,248,n/a,,80.14285714285714,432.6666666666668,0,0,,
Outerwear,2025-12-10,229.0,9,267,n/a,,94.42857142857143,187.8,0,0,,
Outerwear,2026-01-09,352.0,21,276,n/a,,84.25,460.6,0,0,,
Outerwear,2026-02-08,246.0,18,296,n/a,,74.875,364.79999999999995,0,0,,
Outerwear,2026-03-10,155.0,20,314,n/a,,80.33333333333333,352.66666666666663,0,0,,
Outerwear,2026-04-09,193.0,21,330,n/a,,111.0,238.00000000000006,0,0,,
Outerwear,2026-05-09,364.0,19,346,n/a,,101.2,210.89999999999998,0,0,,
Outerwear,2026-06-08,293.0,22,364,n/a,,117.27272727272727,374.7333333333335,0,0,,
Plush & Souvenirs,2025-07-13,61.0,23,162,n/a,,468.75,506.7666666666669,0,0,,
Plush & Souvenirs,2025-08-12,78.0,23,175,n/a,,418.0,211.5999999999999,0,0,,
Plush & Souvenirs,2025-09-11,205.0,27,193,n/a,,478.8,121.5,0,0,,
Plush & Souvenirs,2025-10-11,119.0,17,213,n/a,,469.3333333333333,134.3,0,0,,
Plush & Souvenirs,2025-11-10,159.0,22,225,n/a,,408.8333333333333,206.06666666666672,0,0,,
Plush & Souvenirs,2025-12-10,79.0,9,244,n/a,,410.0,81.6,0,0,,
Plush & Souvenirs,2026-01-09,116.0,21,253,n/a,,374.0,178.5,0,0,,
Plush & Souvenirs,2026-02-08,161.0,18,267,n/a,,266.85714285714283,165.59999999999997,0,0,,
Plush & Souvenirs,2026-03-10,116.0,20,283,n/a,,330.0,184.6666666666666,0,0,,
Plush & Souvenirs,2026-04-09,142.0,21,297,n/a,,233.625,193.89999999999992,0,0,,
Plush & Souvenirs,2026-05-09,640.0,19,313,n/a,,295.44444444444446,163.39999999999998,0,0,,
Plush & Souvenirs,2026-06-08,311.0,22,331,n/a,,333.0,548.5333333333333,0,0,,
Shirts & Tops,2025-07-13,1408.0,23,181,n/a,,202.0,936.1000000000004,0,0,,
Shirts & Tops,2025-08-12,1929.0,23,194,n/a,,325.0,1550.2000000000007,0,0,,
Shirts & Tops,2025-09-11,1974.0,27,214,n/a,,473.0,2861.1,0,0,,
Shirts & Tops,2025-10-11,824.0,17,235,n/a,,532.1666666666666,1704.5333333333333,0,0,,
Shirts & Tops,2025-11-10,1327.0,22,248,n/a,,655.1428571428571,1621.4000000000003,0,0,,
Shirts & Tops,2025-12-10,729.0,9,267,n/a,,536.0,622.5,0,0,,
Shirts & Tops,2026-01-09,1274.0,21,276,n/a,,549.375,1496.6,0,0,,
Shirts & Tops,2026-02-08,722.0,18,296,n/a,,477.125,1238.9999999999998,0,0,,
Shirts & Tops,2026-03-10,674.0,20,314,n/a,,543.0,1148.0000000000002,0,0,,
Shirts & Tops,2026-04-09,553.0,21,330,n/a,,456.2,883.4000000000003,0,0,,
Shirts & Tops,2026-05-09,1189.0,19,346,n/a,,552.3,742.2666666666669,0,0,,
Shirts & Tops,2026-06-08,924.0,22,364,n/a,,474.1818181818182,1209.2666666666669,0,0,,
Stationery,2025-07-13,678.0,23,170,n/a,,545.0,929.9666666666662,0,0,,
Stationery,2025-08-12,1072.0,23,184,n/a,,378.8,886.2666666666664,0,0,,
Stationery,2025-09-11,908.0,27,204,n/a,,572.8,1417.5,0,0,,
Stationery,2025-10-11,796.0,17,225,n/a,,379.1666666666667,869.2666666666667,0,0,,
Stationery,2025-11-10,1573.0,22,238,n/a,,530.0,1105.1333333333334,0,0,,
Stationery,2025-12-10,494.0,9,257,n/a,,488.14285714285717,680.7,0,0,,
Stationery,2026-01-09,1350.0,21,266,n/a,,508.42857142857144,1521.8000000000002,0,0,,
Stationery,2026-02-08,479.0,18,286,n/a,,436.125,1164.0000000000002,0,0,,
Stationery,2026-03-10,548.0,20,304,n/a,,386.22222222222223,955.9999999999998,0,0,,
Stationery,2026-04-09,396.0,21,320,n/a,,506.22222222222223,665.7000000000002,0,0,,
Stationery,2026-05-09,1050.0,19,336,n/a,,371.7,565.5666666666666,0,0,,
Stationery,2026-06-08,748.0,22,354,n/a,,543.3,1003.2000000000002,0,0,,
Umbrellas & Gear,2025-07-13,77.0,23,159,n/a,,144.5,272.9333333333334,0,0,,
Umbrellas & Gear,2025-08-12,406.0,23,171,n/a,,112.75,184.0,0,0,,
Umbrellas & Gear,2025-09-11,183.0,27,190,n/a,,135.4,430.2,0,0,,
Umbrellas & Gear,2025-10-11,109.0,17,210,n/a,,171.5,291.26666666666665,0,0,,
Umbrellas & Gear,2025-11-10,147.0,22,223,n/a,,142.83333333333334,193.60000000000008,0,0,,
Umbrellas & Gear,2025-12-10,52.0,9,241,n/a,,183.57142857142858,75.0,0,0,,
Umbrellas & Gear,2026-01-09,96.0,21,248,n/a,,134.85714285714286,156.10000000000002,0,0,,
Umbrellas & Gear,2026-02-08,44.0,18,264,n/a,,169.57142857142858,139.8,0,0,,
Umbrellas & Gear,2026-03-10,47.0,20,278,n/a,,128.375,93.33333333333336,0,0,,
Umbrellas & Gear,2026-04-09,96.0,21,293,n/a,,165.0,65.10000000000001,0,0,,
Umbrellas & Gear,2026-05-09,241.0,19,308,n/a,,114.44444444444444,90.56666666666666,0,0,,
Umbrellas & Gear,2026-06-08,169.0,22,325,n/a,,181.77777777777777,244.93333333333328,0,0,,
Uncategorised,2025-07-13,28.0,23,85,n/a,,36.0,79.73333333333335,0,0,,
Uncategorised,2025-08-12,56.0,23,95,n/a,,11.5,92.0,0,0,,
Uncategorised,2025-09-11,175.0,27,114,n/a,,30.5,76.49999999999999,0,0,,
Uncategorised,2025-10-11,82.0,17,135,n/a,,49.0,112.19999999999999,0,0,,
Uncategorised,2025-11-10,150.0,22,148,n/a,,56.666666666666664,178.19999999999996,0,0,,
Uncategorised,2025-12-10,94.0,9,167,n/a,,45.0,65.7,0,0,,
Uncategorised,2026-01-09,244.0,21,176,n/a,,54.75,181.29999999999995,0,0,,
Uncategorised,2026-02-08,122.0,18,195,n/a,,65.4,224.4,0,0,,
Uncategorised,2026-03-10,121.0,20,213,n/a,,39.166666666666664,223.3333333333333,0,0,,
Uncategorised,2026-04-09,126.0,21,229,n/a,,71.0,152.60000000000005,0,0,,
Uncategorised,2026-05-09,160.0,19,245,n/a,,49.857142857142854,148.20000000000002,0,0,,
Uncategorised,2026-06-08,158.0,22,263,n/a,,75.28571428571429,195.80000000000004,0,0,,
