item_name,n_sale_days,total_units,mean_units,log_mean_units,cv,active_rate,p90_share,weekday_gini,break_ratio,exam_ratio,log_price,cluster,semantic_category,cluster_label
Black Embro,100,263.0,2.63,1.2892326482767593,1.0446650157332331,0.1996007984031936,0.3269961977186312,0.18033677349266702,0.7850220264317181,0.6371932032724985,5.860786223465865,2,Shirts & Tops,c2-slow-even-mid
Black w/ Yellow UST Embro,23,64.0,2.782608695652174,1.330413902725434,1.8891100241221097,0.04590818363273453,0.578125,0.45089285714285715,5.0,1.1851851851851851,5.860786223465865,3,Shirts & Tops,c3-steady-bursty-mid-breakpeak
Blanca Pen,44,171.0,3.8863636363636362,1.5864483942094016,2.098640928817066,0.08782435129740519,0.5789473684210527,0.5179615705931495,0.5,1.0416666666666667,5.198497031265826,1,Stationery,c1-steady-bursty-budget-termonly
Bomber Jacket,58,88.0,1.5172413793103448,0.923163611161917,1.2483496427307605,0.1157684630738523,0.32954545454545453,0.31493506493506496,0.6052631578947368,0.6052631578947368,7.550135342488429,2,Outerwear,c2-slow-even-mid
Button Pin (Big),45,316.0,7.022222222222222,2.0822154685625613,2.4933808091551284,0.08982035928143713,0.7784810126582279,0.6039783001808319,0.23762376237623764,0.1527581329561528,4.330733340286331,1,Keychains & Charms,c1-steady-bursty-budget-termonly
Button Pin (Small),15,222.0,14.8,2.760009940032921,1.956494894912384,0.029940119760479042,0.7117117117117117,0.7194337194337195,1.0,0.3888888888888889,4.110873864173311,1,Keychains & Charms,c1-steady-bursty-budget-termonly
Button Pins Small,29,69.0,2.3793103448275863,1.217671648684098,0.8209403444705005,0.05788423153692615,0.30434782608695654,0.33126293995859213,1.0,1.185344827586207,3.7612001156935624,2,Keychains & Charms,c2-slow-even-mid
C. Keychain,324,1685.0,5.200617283950617,1.824648849022605,1.3713935270046302,0.6467065868263473,0.39703264094955487,0.126494277236117,1.3586451455123503,1.1638602079344345,5.303304908059076,0,Keychains & Charms,c0-steady-bursty-mid
C. Sticker @120,19,25.0,1.3157894736842106,0.8397506547518208,0.3629508690350986,0.03792415169660679,0.16,0.2857142857142857,0.7222222222222222,0.8666666666666667,4.795790545596741,2,Stationery,c2-slow-even-mid
Ceramic Mug 18oz,20,54.0,2.7,1.308332819650179,0.8420059864952086,0.03992015968063872,0.2962962962962963,0.38095238095238093,1.696969696969697,1.2727272727272727,6.089044875446846,2,Drinkware,c2-slow-even-mid
Chibi Stickers,62,270.0,4.354838709677419,1.678000583871397,2.520649121996571,0.12375249500998003,0.6148148148148148,0.44761904761904764,0.3571428571428571,0.4591836734693877,4.875197323201151,1,Stationery,c1-steady-bursty-budget-termonly
"Chibi Stickers (S1,S2)",41,167.0,4.073170731707317,1.6239660129970102,2.690755059123007,0.08183632734530938,0.562874251497006,0.4499572284003422,1.0,0.6522435897435898,4.454347296253507,1,Stationery,c1-steady-bursty-budget-termonly
