sku,method,fold,origin,n_train,horizon,actual_30d,pred_30d,abs_error,naive_scale
29,weekly_hurdle_12w,5,611,611,30,449.0,175.71428571428578,273.2857142857142,43.10526315789474
29,weekly_hurdle_12w,6,641,641,30,2.0,288.57142857142844,286.57142857142844,49.35
29,weekly_hurdle_12w,7,671,671,30,0.0,193.92857142857147,193.92857142857147,68.28571428571429
29,weekly_hurdle_12w,8,701,701,30,10.0,159.2857142857142,149.2857142857142,65.27272727272727
29,weekly_hurdle_12w,9,731,731,30,67.0,4.285714285714286,62.714285714285715,62.869565217391305
29,weekly_hurdle_12w,10,761,761,30,144.0,27.500000000000007,116.5,62.625
29,weekly_hurdle_12w,11,791,791,30,8.0,78.92857142857142,70.92857142857142,63.2
32,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
32,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
32,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
32,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.0
32,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,0.0
32,weekly_hurdle_12w,5,611,611,30,0.0,0.0,0.0,0.0
32,weekly_hurdle_12w,6,641,641,30,0.0,0.0,0.0,0.0
32,weekly_hurdle_12w,7,671,671,30,1.0,0.0,1.0,0.0
32,weekly_hurdle_12w,8,701,701,30,0.0,0.3571428571428572,0.3571428571428572,0.045454545454545456
32,weekly_hurdle_12w,9,731,731,30,0.0,0.3571428571428572,0.3571428571428572,0.08695652173913043
32,weekly_hurdle_12w,10,761,761,30,0.0,0.3571428571428572,0.3571428571428572,0.08333333333333333
32,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,0.08
33,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,3,551,551,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,4,581,581,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,5,611,611,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,6,641,641,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,7,671,671,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,0.0
33,weekly_hurdle_12w,10,761,761,30,1.0,0.0,1.0,0.0
33,weekly_hurdle_12w,11,791,791,30,0.0,0.3571428571428572,0.3571428571428572,0.04
34,weekly_hurdle_12w,0,461,461,30,22.0,25.714285714285715,3.7142857142857153,16.428571428571427
34,weekly_hurdle_12w,1,491,491,30,14.0,27.142857142857146,13.142857142857146,17.2
34,weekly_hurdle_12w,2,521,521,30,6.0,30.71428571428573,24.71428571428573,16.625
34,weekly_hurdle_12w,3,551,551,30,4.0,11.07142857142857,7.071428571428569,16.11764705882353
34,weekly_hurdle_12w,4,581,581,30,2.0,8.571428571428571,6.571428571428571,15.333333333333334
34,weekly_hurdle_12w,5,611,611,30,0.0,3.928571428571429,3.928571428571429,14.631578947368421
34,weekly_hurdle_12w,6,641,641,30,0.0,1.7857142857142856,1.7857142857142856,14.0
34,weekly_hurdle_12w,7,671,671,30,0.0,0.7142857142857144,0.7142857142857144,13.333333333333334
34,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,12.727272727272727
34,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,12.173913043478262
34,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,11.666666666666666
34,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,11.2
36,weekly_hurdle_12w,0,461,461,30,73.0,42.499999999999986,30.500000000000014,9.857142857142858
36,weekly_hurdle_12w,1,491,491,30,58.0,47.85714285714286,10.142857142857139,13.533333333333333
36,weekly_hurdle_12w,2,521,521,30,15.0,49.642857142857146,34.642857142857146,13.625
36,weekly_hurdle_12w,3,551,551,30,23.0,50.71428571428571,27.714285714285708,15.352941176470589
36,weekly_hurdle_12w,4,581,581,30,13.0,34.285714285714285,21.285714285714285,14.944444444444445
36,weekly_hurdle_12w,5,611,611,30,12.0,17.142857142857142,5.142857142857142,14.68421052631579
36,weekly_hurdle_12w,6,641,641,30,8.0,16.071428571428577,8.071428571428577,14.0
36,weekly_hurdle_12w,7,671,671,30,2.0,10.714285714285717,8.714285714285717,13.523809523809524
36,weekly_hurdle_12w,8,701,701,30,11.0,7.857142857142858,3.1428571428571423,13.181818181818182
36,weekly_hurdle_12w,9,731,731,30,10.0,7.142857142857142,2.8571428571428577,13.0
36,weekly_hurdle_12w,10,761,761,30,26.0,8.214285714285714,17.785714285714285,12.5
36,weekly_hurdle_12w,11,791,791,30,3.0,16.071428571428577,13.071428571428577,12.64
38,weekly_hurdle_12w,0,461,461,30,44.0,46.071428571428555,2.071428571428555,15.428571428571429
38,weekly_hurdle_12w,1,491,491,30,18.0,29.642857142857142,11.642857142857142,16.8
38,weekly_hurdle_12w,2,521,521,30,33.0,24.28571428571429,8.714285714285712,17.375
38,weekly_hurdle_12w,3,551,551,30,35.0,32.14285714285715,2.857142857142847,17.235294117647058
38,weekly_hurdle_12w,4,581,581,30,0.0,30.71428571428573,30.71428571428573,16.38888888888889
38,weekly_hurdle_12w,5,611,611,30,0.0,19.285714285714285,19.285714285714285,17.36842105263158
38,weekly_hurdle_12w,6,641,641,30,0.0,7.142857142857142,7.142857142857142,16.5
38,weekly_hurdle_12w,7,671,671,30,0.0,0.0,0.0,15.714285714285714
38,weekly_hurdle_12w,8,701,701,30,0.0,0.0,0.0,15.0
38,weekly_hurdle_12w,9,731,731,30,0.0,0.0,0.0,14.347826086956522
38,weekly_hurdle_12w,10,761,761,30,0.0,0.0,0.0,13.75
38,weekly_hurdle_12w,11,791,791,30,0.0,0.0,0.0,13.2
39,weekly_hurdle_12w,0,461,461,30,0.0,0.0,0.0,0.0
39,weekly_hurdle_12w,1,491,491,30,0.0,0.0,0.0,0.0
39,weekly_hurdle_12w,2,521,521,30,0.0,0.0,0.0,0.0
