metric_id,product_id,item_name,tier,validation_method,period_scope,n_obs,mae,rmse,mape,naive_mae,naive_rmse,naive_mape,beats_naive_mae,meets_mape_threshold,snapshot_date,mase,naive_mase
133,389,UST OAT MUG (B),simplified,walk_forward_30d_aggregate,overall,12,22.66666666666667,40.151795310629225,64.38043242489508,16.916666666666668,34.635001563928554,68.23784143904064,0,0.0,2026-07-31,2.133637145784012,1.5923836051255678
134,389,UST OAT MUG (B),simplified,walk_forward_30d_aggregate,standard_period,11,21.727272727272734,40.73975052362585,71.36689235600043,17.0,35.85196837502282,83.9662447257384,0,0.0,2026-07-31,2.012212721523176,1.574409116840309
135,389,UST OAT MUG (B),simplified,walk_forward_30d_aggregate,semestral_break,1,33.00000000000002,33.00000000000002,43.42105263157897,16.0,16.0,21.052631578947366,0,,2026-07-31,3.644171779141107,1.7668711656441718
136,392,"UST OAT MUG (Y,W)",simplified,walk_forward_30d_aggregate,overall,12,21.500000000000004,34.71070920239651,70.71749208996916,23.0,42.46174749112429,90.47619047619048,1,0.0,2026-07-31,2.406298924623383,2.5741802449459437
137,392,"UST OAT MUG (Y,W)",simplified,walk_forward_30d_aggregate,standard_period,11,19.272727272727273,33.49626844888845,70.14289685849319,22.09090909090909,43.21931386439506,100.0,1,0.0,2026-07-31,2.141272860876589,2.454383515061373
138,392,"UST OAT MUG (Y,W)",simplified,walk_forward_30d_aggregate,semestral_break,1,46.00000000000004,46.00000000000004,73.01587301587308,33.0,33.0,52.38095238095239,0,,2026-07-31,5.557046979865777,3.9865771812080535
139,393,"UST OAT MUG (Y,W,B)",standard,walk_forward_30d_aggregate,overall,12,41.24999999999998,60.009027098706824,1987.871900739247,51.583333333333336,80.60241931852914,91.7258031016339,1,0.0,2026-07-31,5.749020303611553,7.189178925122329
140,393,"UST OAT MUG (Y,W,B)",standard,walk_forward_30d_aggregate,standard_period,11,44.99999999999998,62.67738464114901,1987.871900739247,56.27272727272727,84.18648131596686,91.7258031016339,1,0.0,2026-07-31,6.061928496712724,7.580472200939753
141,393,"UST OAT MUG (Y,W,B)",standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
142,394,UST OAT MUG (Y/B inside),standard,walk_forward_30d_aggregate,overall,12,1.5000000000000002,5.196152422706633,,0.0,0.0,,0,,2026-07-31,0.07391994083029041,0.0
143,394,UST OAT MUG (Y/B inside),standard,walk_forward_30d_aggregate,standard_period,11,1.6363636363636367,5.427204202399746,,0.0,0.0,,0,,2026-07-31,0.08103807996371137,0.0
144,394,UST OAT MUG (Y/B inside),standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
145,395,UST OAT T-Shirt Y/B/COLLEGE,standard,walk_forward_30d_aggregate,overall,12,98.16666666666667,121.75111224680181,57.310812192587825,347.9166666666667,651.5327441247038,234.60806934178456,1,0.0,2026-07-31,1.5881222202840741,5.628531638103573
146,395,UST OAT T-Shirt Y/B/COLLEGE,standard,walk_forward_30d_aggregate,standard_period,11,93.45454545454545,118.85055551176252,58.28306386223602,371.09090909090907,679.9257980905644,263.6502033458779,1,0.0,2026-07-31,1.5119355113376263,6.003619413696683
147,395,UST OAT T-Shirt Y/B/COLLEGE,standard,walk_forward_30d_aggregate,semestral_break,1,149.99999999999997,149.99999999999997,50.5050505050505,93.0,93.0,31.313131313131315,0,,2026-07-31,2.425876010781671,1.5040431266846361
148,397,UST OAT T-Shirt Y/B/COLLEGE (XS-2XL),simplified,walk_forward_30d_aggregate,overall,12,48.75000000000001,80.13062252763713,118.55445824396898,49.333333333333336,86.07554821202127,119.02738291186591,1,0.0,2026-07-31,4.693503126338294,4.749664702209008
149,397,UST OAT T-Shirt Y/B/COLLEGE (XS-2XL),simplified,walk_forward_30d_aggregate,standard_period,11,53.181818181818194,83.69370563929144,118.55445824396898,53.81818181818182,89.90297800710194,119.02738291186591,1,0.0,2026-07-31,5.1201852287326854,5.181452402409827
150,397,UST OAT T-Shirt Y/B/COLLEGE (XS-2XL),simplified,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,,
151,400,UST T-Shirt (College Shirt),minimal,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
152,400,UST T-Shirt (College Shirt),minimal,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
153,400,UST T-Shirt (College Shirt),minimal,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
154,401,UST T-Shirt Happy Tiger,minimal,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
155,401,UST T-Shirt Happy Tiger,minimal,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
156,401,UST T-Shirt Happy Tiger,minimal,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
157,402,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,standard,walk_forward_30d_aggregate,overall,12,155.66666666666666,242.9286589378316,46.698692105286966,763.25,1319.6571840191427,290.29923056373804,1,0.0,2026-07-31,1.3688472573044068,6.711601728935259
158,402,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,standard,walk_forward_30d_aggregate,standard_period,11,155.54545454545453,249.27586033439846,49.13012827155669,820.7272727272727,1377.7709269950237,328.23287705799066,1,0.0,2026-07-31,1.3762787561329417,7.261861256790297
159,402,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY,standard,walk_forward_30d_aggregate,semestral_break,1,157.0000000000001,157.0000000000001,29.678638941398887,131.0,131.0,24.763705103969755,0,,2026-07-31,1.29277218664227,1.0786825251601098
160,403,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY/Script,simplified,walk_forward_30d_aggregate,overall,12,44.91666666666666,86.73859194922022,107.34639333904035,51.416666666666664,98.75854393418324,125.42420814479638,1,0.0,2026-07-31,5.086310411133509,5.8223627526333495
161,403,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY/Script,simplified,walk_forward_30d_aggregate,standard_period,11,48.99999999999999,90.59550460450812,107.34639333904035,56.09090909090909,103.1499350019625,125.42420814479638,1,0.0,2026-07-31,5.548702266691101,6.3516684574182
162,403,UST T-Shirt Santo Tomas Shirt/UST T-Shirt Tiger Pattern/HAPPY/Script,simplified,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,,
163,404,UST T-Shirt Sporty,standard,walk_forward_30d_aggregate,overall,12,71.91666666666664,117.18254989545156,80.85004833478934,206.75,314.4848962986935,275.84550253667896,1,0.0,2026-07-31,1.151397135943107,3.3100999933659905
164,404,UST T-Shirt Sporty,standard,walk_forward_30d_aggregate,standard_period,11,73.18181818181816,121.13741258287102,84.14410867291704,221.0,328.12262120349845,297.4258629071464,1,0.0,2026-07-31,1.1852338675522762,3.5792590459870612
165,404,UST T-Shirt Sporty,standard,walk_forward_30d_aggregate,semestral_break,1,57.999999999999986,57.999999999999986,44.615384615384606,50.0,50.0,38.46153846153847,0,,2026-07-31,0.824644549763033,0.7109004739336493
166,406,UST T-Shirt Tiger Pattern,minimal,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
167,406,UST T-Shirt Tiger Pattern,minimal,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
168,406,UST T-Shirt Tiger Pattern,minimal,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
169,419,Umb (One For UST),standard,walk_forward_30d_aggregate,overall,12,52.333333333333336,91.1756546453054,64.047614590294,50.166666666666664,88.79658401838064,70.17882250255832,0,0.0,2026-07-31,1.0847421771110553,1.039832469141489
170,419,Umb (One For UST),standard,walk_forward_30d_aggregate,standard_period,11,54.63636363636365,94.88126551355934,74.1899530204762,46.09090909090909,88.21100735272111,67.07135421515441,0,0.0,2026-07-31,1.1427171730789496,0.9639893623145214
171,419,Umb (One For UST),standard,walk_forward_30d_aggregate,semestral_break,1,26.999999999999986,26.999999999999986,23.478260869565204,95.0,95.0,82.6086956521739,1,,2026-07-31,0.5094339622641507,1.7924528301886793
172,477,White Tote Bag,minimal,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
173,477,White Tote Bag,minimal,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
174,477,White Tote Bag,minimal,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
