metric_id,product_id,item_name,tier,validation_method,period_scope,n_obs,mae,rmse,mape,naive_mae,naive_rmse,naive_mape,beats_naive_mae,meets_mape_threshold,snapshot_date,mase,naive_mase
12,54,Ballpen 2 Designs @50 (B&Y),standard,walk_forward_30d_aggregate,semestral_break,1,84.99999999999989,84.99999999999989,20.047169811320728,56.0,56.0,13.20754716981132,0,,2026-07-31,3.3045356371490238,2.1771058315334773
13,55,"Ballpen 3 Designs @50 (B,Y,W)",standard,walk_forward_30d_aggregate,overall,12,104.33333333333333,200.0062499023468,117.16038901610591,324.0833333333333,770.2440630518788,511.0972360972361,1,0.0,2026-07-31,2.51654637386071,7.816971923278196
14,55,"Ballpen 3 Designs @50 (B,Y,W)",standard,walk_forward_30d_aggregate,standard_period,11,113.81818181818181,208.89971495694033,117.16038901610591,353.54545454545456,804.4936860591828,511.0972360972361,1,0.0,2026-07-31,2.7453233169389564,8.527605734485306
15,55,"Ballpen 3 Designs @50 (B,Y,W)",standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,,
16,74,Black Eco Bag,standard,walk_forward_30d_aggregate,overall,12,102.16666666666667,150.90670407020804,167.7069554925481,228.0,415.2513295182409,461.2813679769043,1,0.0,2026-07-31,4.954143756658868,11.055903195936919
17,74,Black Eco Bag,standard,walk_forward_30d_aggregate,standard_period,11,100.0909090909091,153.04455679192372,181.72588048467216,228.27272727272728,428.377382477392,506.4415389740173,1,0.0,2026-07-31,4.3947935495712365,10.023003272455382
18,74,Black Eco Bag,standard,walk_forward_30d_aggregate,semestral_break,1,125.00000000000003,125.00000000000003,55.55555555555557,225.0,225.0,100.0,1,,2026-07-31,22.500000000000007,40.5
19,112,C. Keychain,standard,walk_forward_30d_aggregate,overall,12,41.75,68.69922367343997,227.95170172582456,112.58333333333333,156.71763355368364,295.7689362294625,1,0.0,2026-07-31,1.432141360549975,3.861922111982069
20,112,C. Keychain,standard,walk_forward_30d_aggregate,standard_period,11,44.45454545454546,71.66272011684636,245.80377030377036,96.27272727272727,137.99242403447042,252.80056201108835,1,0.0,2026-07-31,1.5268355567294039,3.306582524696193
21,112,C. Keychain,standard,walk_forward_30d_aggregate,semestral_break,1,11.999999999999986,11.999999999999986,31.57894736842102,292.0,292.0,768.421052631579,1,,2026-07-31,0.40601503759398444,9.8796992481203
22,148,Discounted Yellow Lanyard @80,minimal,walk_forward_30d_aggregate,overall,12,23.83333333333334,55.23736657975892,94.05594405594407,3.3333333333333335,8.256310717667224,58.04195804195804,0,0.0,2026-07-31,2.034840764387131,0.28459311390029796
23,148,Discounted Yellow Lanyard @80,minimal,walk_forward_30d_aggregate,standard_period,11,26.000000000000004,57.693547772220214,94.05594405594407,3.6363636363636362,8.623435299440494,58.04195804195804,0,0.0,2026-07-31,2.311398907572676,0.3232725744856889
24,148,Discounted Yellow Lanyard @80,minimal,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
25,156,Eco Bag,simplified,walk_forward_30d_aggregate,overall,12,26.58333333333334,50.61702612099346,105.70395110272412,16.916666666666668,48.25885065629585,68.25396825396824,0,0.0,2026-07-31,2.1079341797746953,1.3414126598566243
26,156,Eco Bag,simplified,walk_forward_30d_aggregate,standard_period,11,29.000000000000004,52.86775955154522,105.70395110272412,18.454545454545453,50.404725608184435,68.25396825396824,0,0.0,2026-07-31,2.3945014316132034,1.5237736382993108
27,156,Eco Bag,simplified,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
28,174,"Go USTE (W,Y,B) @450",standard,walk_forward_30d_aggregate,overall,12,25.5,35.644073841243234,81.16075615203196,58.416666666666664,92.48558446230058,170.81899882810748,1,0.0,2026-07-31,3.2489730613064216,7.442908875737913
29,174,"Go USTE (W,Y,B) @450",standard,walk_forward_30d_aggregate,standard_period,11,24.818181818181817,35.874782229304195,84.03873652913992,61.27272727272727,96.25439777438271,183.61518442520395,1,0.0,2026-07-31,3.0121993757032195,7.436712011809415
30,174,"Go USTE (W,Y,B) @450",standard,walk_forward_30d_aggregate,semestral_break,1,33.0,33.0,52.38095238095239,27.0,27.0,42.857142857142854,0,,2026-07-31,7.615384615384616,6.230769230769231
31,187,"Hoodie UST embro (V,G,Y,B) @1800",standard,walk_forward_30d_aggregate,overall,12,24.333333333333332,28.936712552280945,69.86492851321934,87.41666666666667,177.99227511327564,171.35655044899144,1,0.0,2026-07-31,3.414433174217,12.266234245731622
32,187,"Hoodie UST embro (V,G,Y,B) @1800",standard,walk_forward_30d_aggregate,standard_period,11,25.272727272727273,29.927184358645636,74.9595294726494,93.9090909090909,185.844265203667,186.33004333172843,1,0.0,2026-07-31,3.4324420506494073,12.754362008348338
33,187,"Hoodie UST embro (V,G,Y,B) @1800",standard,walk_forward_30d_aggregate,semestral_break,1,14.0,14.0,18.91891891891892,16.0,16.0,21.62162162162162,1,,2026-07-31,2.8,3.2
34,190,ID Case,standard,walk_forward_30d_aggregate,overall,12,33.333333333333336,70.72128392499671,157.50871194687355,15.5,43.10645736623072,116.18778354921429,0,0.0,2026-07-31,1.6613225660143838,0.7725149931966884
35,190,ID Case,standard,walk_forward_30d_aggregate,standard_period,11,36.36363636363637,73.86597199104482,157.50871194687355,16.90909090909091,45.023226329206004,116.18778354921429,0,0.0,2026-07-31,1.8557196205015554,0.8629096235332233
36,190,ID Case,standard,walk_forward_30d_aggregate,semestral_break,1,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
37,192,ID Case v2 @40,standard,walk_forward_30d_aggregate,overall,12,30.583333333333332,47.04519104010526,115.29303908451148,76.33333333333333,110.88131793348538,157.14450245700246,1,0.0,2026-07-31,5.426304491150104,13.543582871644402
38,192,ID Case v2 @40,standard,walk_forward_30d_aggregate,standard_period,11,31.272727272727273,48.645283803917074,123.7142348848545,54.54545454545455,65.83726493822063,130.15625,1,0.0,2026-07-31,5.358189213505292,9.345678860765043
39,192,ID Case v2 @40,standard,walk_forward_30d_aggregate,semestral_break,1,22.999999999999986,22.999999999999986,31.081081081081063,316.0,316.0,427.02702702702703,1,,2026-07-31,5.9999999999999964,82.43478260869566
40,209,Keychain @160,simplified,walk_forward_30d_aggregate,overall,12,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
41,209,Keychain @160,simplified,walk_forward_30d_aggregate,standard_period,11,0.0,0.0,,0.0,0.0,,0,,2026-07-31,0.0,0.0
