Category,Date,No,Item,Size,Location,Classification,Price,Quantity,OPEX,Notes,canonical_item_name
MAIN STORAGE,2024-11-09,17.0,Napoliz Hoodie (black/yellow/green inside),XL,,,1900.0,13.0,,02/12/2024 0:00,Napoliz Hoodie (black/yellow/green inside)
MAIN STORAGE,2024-11-09,18.0,Napoliz Jacket (black/yellow/green inside,Medium,,,1900.0,25.0,,"M- 3pcs. , m - 5 (05-13-25)",Napoliz Jacket (black/yellow/green inside
MAIN STORAGE,2024-11-09,18.0,Napoliz Jacket (black/yellow/green inside,Large,,,1900.0,10.0,,ALL LARGE AND XL SIZES ARE TAKEN,Napoliz Jacket (black/yellow/green inside
MAIN STORAGE,2024-11-09,18.0,Napoliz Jacket (black/yellow/green inside,XL,,,1900.0,12.0,,"12/02/2024, m-3 (03/05)",Napoliz Jacket (black/yellow/green inside
MAIN STORAGE,2024-11-09,19.0,White Hoodie (black tiger head design),XS,,,1200.0,30.0,,"medium 5pcs , m-3 (03-05), m-8 (05-13-25)",White Hoodie (black tiger head design)
MAIN STORAGE,2024-11-09,19.0,White Hoodie (black tiger head design),Medium,,,1200.0,17.0,,large 9pcs. 12/11/2024,White Hoodie (black tiger head design)
MAIN STORAGE,2024-11-09,19.0,White Hoodie (black tiger head design),Large,,,1200.0,9.0,,,White Hoodie (black tiger head design)
MAIN STORAGE,2024-11-09,20.0,White Baseball Shirt,Medium,,,800.0,7.0,,M - 7 L - 10 2XL - 10,White Baseball Shirt
MAIN STORAGE,2024-11-09,20.0,White Baseball Shirt,Large,,,800.0,28.0,,02/12/2024 0:00,White Baseball Shirt
MAIN STORAGE,2024-11-09,20.0,White Baseball Shirt,2XL,,,800.0,18.0,,,White Baseball Shirt
MAIN STORAGE,2024-11-09,21.0,Yellow Baseball Shirt,Medium,,,800.0,10.0,,M - 10 L -10  XL - 10,Yellow Baseball Shirt
MAIN STORAGE,2024-11-09,21.0,Yellow Baseball Shirt,Large,,,800.0,20.0,,2XL - 10 12/02/2024,Yellow Baseball Shirt
MAIN STORAGE,2024-11-09,21.0,Yellow Baseball Shirt,XL,,,800.0,26.0,,,Yellow Baseball Shirt
MAIN STORAGE,2024-11-09,21.0,Yellow Baseball Shirt,2XL,,,800.0,20.0,,,Yellow Baseball Shirt
MAIN STORAGE,2024-11-09,22.0,White Hoodie (gold tigers lettering),Medium,,,1200.0,11.0,,all items are taken 01/16/2025,White Hoodie w/ Gold TIgers Lettering
MAIN STORAGE,2024-11-09,23.0,"JYL Hoodie ( white , yellow, green",XL,,,1900.0,19.0,,"8 pcs. 12/02/2024 , 11 pcs. 12/14/2024",JYL Hoodie (white/green/yellow
MAIN STORAGE,2024-11-09,24.0,Yellow Happy Tiger,2XL,,,450.0,10.0,,all items are taken 01/16/2025,Yellow Happy Tiger
MAIN STORAGE,2024-11-09,25.0,Yellow Oat Shirt,2XL,,,375.0,25.0,,all items are taken 01/16/2025,Yellow Oat Shirt
MAIN STORAGE,2024-11-09,26.0,Bomber Jacket,Medium,,,1900.0,8.0,,,Bomber Jacket
MAIN STORAGE,2024-11-09,26.0,Bomber Jacket,Large,,,1900.0,13.0,,ALL SIZES,Bomber Jacket
MAIN STORAGE,2024-11-09,26.0,Bomber Jacket,XL,,,1900.0,15.0,,ARE TAKEN,Bomber Jacket
MAIN STORAGE,2024-11-09,26.0,Bomber Jacket,2XL,,,1900.0,11.0,,16/11/2024 0:00,Bomber Jacket
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,XS,INSIDE,,1450.0,30.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,XS,OUTSIDE,,1450.0,2.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,Small,INSIDE,,1450.0,50.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,Small,OUTSIDE,,1450.0,1.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,Medium,INSIDE,,1450.0,24.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,Medium,OUTSIDE,,1450.0,1.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,Large,INSIDE,,1450.0,5.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,XL,INSIDE,,1450.0,9.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,2XL,INSIDE,,1450.0,49.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,1.0,Black Sporty Sweatshirt,2XL,OUTSIDE,,1450.0,2.0,,,Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,XS,INSIDE,,1450.0,35.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,XS,OUTSIDE,,1450.0,2.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,Small,INSIDE,,1450.0,30.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,Small,OUTSIDE,,1450.0,1.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,Medium,INSIDE,,1450.0,31.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,Medium,OUTSIDE,,1450.0,3.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,Large,INSIDE,,1450.0,25.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,Large,OUTSIDE,,1450.0,1.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,XL,INSIDE,,1450.0,23.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,2XL,INSIDE,,1450.0,15.0,,,Gray and Black Sporty Sweatshirt
APPAREL,2024-11-13,2.0,Gray and Black Sporty Sweatshirt,2XL,OUTSIDE,,1450.0,2.0,,,Gray and Black Sporty Sweatshirt
