fold,origin,origin_date,sku,category,actual_30d,naive_denom,arm,method,yhat,abs_err,sq_err,mase
0,461,2025-08-06,215,Lanyards & IDs,1046.0,65.64285714285714,top-down,topdown_rolling_mean_30,273.36509207365896,772.634907926341,596964.7009463455,11.770281513567765
0,461,2025-08-06,215,Lanyards & IDs,1046.0,65.64285714285714,top-down,topdown_tsb,305.84201637284474,740.1579836271553,547833.8407270163,11.275529674407155
0,461,2025-08-06,216,Lanyards & IDs,0.0,32.5,per-SKU,persku_rolling_mean_30,0.0,0.0,0.0,0.0
0,461,2025-08-06,216,Lanyards & IDs,0.0,32.5,per-SKU,persku_rolling_mean_180,34.0,34.0,1156.0,1.0461538461538462
0,461,2025-08-06,216,Lanyards & IDs,0.0,32.5,per-SKU,persku_tsb,0.03755593249450373,0.03755593249450373,0.0014104480655317212,0.0011555671536770378
0,461,2025-08-06,216,Lanyards & IDs,0.0,32.5,per-SKU,persku_ewma_a0.1,0.03613766503423841,0.03613766503423841,0.0013059308341268174,0.0011119281548996433
0,461,2025-08-06,216,Lanyards & IDs,0.0,32.5,top-down,topdown_RM6_180,8.00053376034161,8.00053376034161,64.00854045036584,0.2461702695489726
0,461,2025-08-06,216,Lanyards & IDs,0.0,32.5,top-down,topdown_rolling_mean_30,11.053642914331466,11.053642914331466,122.18302167755022,0.3401120896717374
0,461,2025-08-06,216,Lanyards & IDs,0.0,32.5,top-down,topdown_tsb,12.366862248357641,12.366862248357641,152.9392818698534,0.38051883841100437
0,461,2025-08-06,221,Stationery,85.0,15.357142857142858,per-SKU,persku_rolling_mean_30,28.99999999999999,56.000000000000014,3136.000000000002,3.6465116279069774
0,461,2025-08-06,221,Stationery,85.0,15.357142857142858,per-SKU,persku_rolling_mean_180,30.0,55.0,3025.0,3.581395348837209
0,461,2025-08-06,221,Stationery,85.0,15.357142857142858,per-SKU,persku_tsb,49.93757046100771,35.06242953899229,1229.3739651767992,2.283134946725079
0,461,2025-08-06,221,Stationery,85.0,15.357142857142858,per-SKU,persku_ewma_a0.1,34.551313786742526,50.448686213257474,2545.0699406437147,3.285030730165603
0,461,2025-08-06,221,Stationery,85.0,15.357142857142858,top-down,topdown_RM6_180,55.80601092896175,29.193989071038253,852.288997879901,1.9010039395094676
0,461,2025-08-06,221,Stationery,85.0,15.357142857142858,top-down,topdown_rolling_mean_30,33.36065573770492,51.63934426229508,2666.621875839828,3.3625619519634005
0,461,2025-08-06,221,Stationery,85.0,15.357142857142858,top-down,topdown_tsb,35.05600225233314,49.94399774766686,2494.4029110189526,3.252167295196912
0,461,2025-08-06,227,Stationery,68.0,19.357142857142858,per-SKU,persku_rolling_mean_30,52.99999999999999,15.000000000000007,225.00000000000023,0.7749077490774912
0,461,2025-08-06,227,Stationery,68.0,19.357142857142858,per-SKU,persku_rolling_mean_180,66.00000000000001,1.9999999999999858,3.999999999999943,0.10332103321033137
0,461,2025-08-06,227,Stationery,68.0,19.357142857142858,per-SKU,persku_tsb,52.39722027016904,15.602779729830957,243.44673529762377,0.8060476613196804
0,461,2025-08-06,227,Stationery,68.0,19.357142857142858,per-SKU,persku_ewma_a0.1,71.15689930229613,3.156899302296125,9.966013204837761,0.1630870488271061
0,461,2025-08-06,227,Stationery,68.0,19.357142857142858,top-down,topdown_RM6_180,73.78794778384943,5.787947783849432,33.50033954856756,0.29900837259738766
0,461,2025-08-06,227,Stationery,68.0,19.357142857142858,top-down,topdown_rolling_mean_30,44.11020036429873,23.889799635701273,570.7225266339527,1.2341593907742354
0,461,2025-08-06,227,Stationery,68.0,19.357142857142858,top-down,topdown_tsb,46.35182520030716,21.64817479969284,468.6434721580561,1.1183558937110691
0,461,2025-08-06,228,Stationery,115.0,39.214285714285715,per-SKU,persku_rolling_mean_30,105.0,10.0,100.0,0.25500910746812383
0,461,2025-08-06,228,Stationery,115.0,39.214285714285715,per-SKU,persku_rolling_mean_180,127.5,12.5,156.25,0.31876138433515483
0,461,2025-08-06,228,Stationery,115.0,39.214285714285715,per-SKU,persku_tsb,106.3576207943335,8.6423792056665,74.69071833453674,0.22038854076380876
0,461,2025-08-06,228,Stationery,115.0,39.214285714285715,per-SKU,persku_ewma_a0.1,160.56465981629057,45.56465981629057,2076.138224174285,1.1619403231840948
0,461,2025-08-06,228,Stationery,115.0,39.214285714285715,top-down,topdown_RM6_180,135.48459319975714,20.484593199757143,419.61855855953655,0.5223757828717668
0,461,2025-08-06,228,Stationery,115.0,39.214285714285715,top-down,topdown_rolling_mean_30,80.99225865209472,34.00774134790528,1156.5264715860264,0.8672283768136136
0,461,2025-08-06,228,Stationery,115.0,39.214285714285715,top-down,topdown_tsb,85.10818324594213,29.89181675405787,893.5207088581748,0.7622685511053009
0,461,2025-08-06,229,Stationery,172.0,60.357142857142854,per-SKU,persku_rolling_mean_30,111.00000000000003,60.99999999999997,3720.9999999999964,1.0106508875739642
0,461,2025-08-06,229,Stationery,172.0,60.357142857142854,per-SKU,persku_rolling_mean_180,177.66666666666663,5.666666666666629,32.11111111111068,0.09388560157790865
0,461,2025-08-06,229,Stationery,172.0,60.357142857142854,per-SKU,persku_tsb,124.29364030830018,47.70635969169982,2275.896755033841,0.7904012256612988
0,461,2025-08-06,229,Stationery,172.0,60.357142857142854,per-SKU,persku_ewma_a0.1,157.15046689454857,14.849533105451428,220.50863344989793,0.24602776742759763
0,461,2025-08-06,229,Stationery,172.0,60.357142857142854,top-down,topdown_RM6_180,209.27254098360658,37.272540983606575,1389.2423113746318,0.6175332233970321
